"","2012","2013","2014","2015","2016","2017","2018"
"Ethnicity","%","%","%","%","%","%","%"
"All","31.50","32.33","33.86","34.46","34.92","35.70","36.00"
"Bangladeshi","28.51","32.04","34.77","35.69","30.95","34.74","29.75"
"Chinese","22.62","20.42","26.22","27.70","26.04","24.26","27.42"
"Indian","31.64","30.70","31.40","33.92","33.83","34.43","34.65"
"Pakistani","30.95","30.77","34.37","34.48","35.88","37.90","36.87"
"Asian other","29.58","32.27","33.77","30.71","33.87","34.13","36.03"
"Black","30.08","31.84","33.26","33.46","33.37","35.44","36.34"
"Mixed","27.34","35.63","29.10","31.84","32.02","30.37","33.06"
"White","31.73","32.51","34.08","34.63","35.15","35.89","36.16"
"White Gypsy / Traveller","?","?","?","?","?","?","?"
"Arab","27.40","27.20","24.99","36.85","33.55","32.62","41.26"
"Other","27.18","28.80","31.19","31.48","32.94","35.49","32.86"
