"","2015","","2016","","2017","","2018","","2019",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number","%","Number"
"All","100","69,470","100","70,410","100","72,610","100","75,370","100","78,150"
"White","77","53,600","75","53,160","75","54,330","75","56,380","74","57,780"
"White British","73","50,400","71","49,870","70","50,910","70","52,820","69","54,060"
"White Irish","~0","290","~0","260","~0","240","~0","230","~0","230"
"Irish Traveller","~0","80","~0","90","~0","90","~0","90","~0","100"
"Gypsy/Roma","~0","260","~0","280","~0","330","~0","380","1","440"
"White other","4","2,570","4","2,660","4","2,760","4","2,860","4","2,950"
"Mixed","9","6,400","9","6,450","9","6,830","10","7,290","10","7,560"
"White/Black Caribbean","3","2,400","3","2,360","3","2,450","3","2,590","3","2,630"
"White/Black African","1","670","1","670","1","720","1","800","1","890"
"White/Asian","2","1,230","2","1,240","2","1,330","2","1,380","2","1,490"
"Mixed other","3","2,100","3","2,180","3","2,330","3","2,520","3","2,560"
"Asian","4","2,670","4","3,080","5","3,380","5","3,400","4","3,480"
"Indian","~0","290","~0","290","~0","290","~0","330","~0","310"
"Pakistani","1","870","1","850","1","880","1","930","1","1,020"
"Bangladeshi","1","460","1","420","1","410","1","410","1","410"
"Asian other","1","1,040","2","1,520","2","1,790","2","1,730","2","1,730"
"Black","7","4,990","7","5,240","7","5,270","7","5,400","8","5,930"
"Black Caribbean","2","1,490","2","1,390","2","1,410","2","1,340","2","1,340"
"Black African","4","2,590","4","2,950","4","2,840","4","2,990","4","3,410"
"Black other","1","910","1","900","1","1,010","1","1,080","2","1,180"
"Other","2","1,590","3","2,250","3","2,480","3","2,490","4","2,780"
"Chinese","~0","60","~0","80","~0","80","~0","90","~0","100"
"Any other","2","1,530","3","2,170","3","2,400","3","2,400","3","2,690"
"Unknown","~0","230","~0","240","~0","330","1","420","1","620"
