"","White","","","Other than White","",""
"Local Authority","Number leaving care who are adopted","% leaving care who are adopted","Number leaving care","Number leaving care who are adopted","% leaving care who are adopted","Number leaving care"
"Barking and Dagenham","33","10","317","9","3","278"
"Barnet","22","12","188","13","4","353"
"Barnsley","112","34","334","7","30","23"
"Bath and North East Somerset","31","18","173","!","!","42"
"Bedford","53","30","175","17","12","147"
"Bexley","22","11","197","6","3","177"
"Birmingham","141","18","778","109","9","1,187"
"Blackburn with Darwen","54","17","325","14","12","120"
"Blackpool","97","19","499","!","!","26"
"Bolton","98","24","414","13","11","123"
"Bournemouth, Christchurch and Poole","N/A","N/A","N/A","N/A","N/A","N/A"
"Bracknell Forest","16","11","149","!","!","45"
"Bradford","65","10","623","20","5","383"
"Brent","11","9","120","9","2","406"
"Brighton and Hove","73","20","364","9","5","174"
"Bristol, City of","50","11","463","20","8","262"
"Bromley","28","12","237","12","6","205"
"Buckinghamshire","49","13","378","12","6","196"
"Bury","28","11","255","7","7","104"
"Calderdale","34","17","198","7","10","73"
"Cambridgeshire","125","21","605","12","5","241"
"Camden","6","8","79","10","4","228"
"Central Bedfordshire","43","20","212","6","5","114"
"Cheshire East","48","13","365","0","0","56"
"Cheshire West & Chester","46","11","405","!","!","38"
"City of London","0","0","!","0","0","52"
"Cornwall","78","12","642","!","!","49"
"Coventry","68","15","462","26","9","284"
"Croydon","29","6","460","23","3","844"
"Cumbria","122","21","579","!","!","28"
"Darlington","35","14","248","!","!","22"
"Derby","64","15","439","8","4","187"
"Derbyshire","114","15","756","9","8","115"
"Devon","122","15","801","6","7","91"
"Doncaster","93","16","580","11","15","73"
"Dorset","N/A","N/A","N/A","N/A","N/A","N/A"
"Dudley","77","19","412","19","17","113"
"Durham","153","15","1,015","!","!","57"
"Ealing","15","11","140","11","2","446"
"East Riding of Yorkshire","44","16","272","!","!","40"
"East Sussex","81","18","439","8","9","90"
"Enfield","19","8","250","11","3","333"
"Essex","199","22","922","23","5","434"
"Gateshead","72","17","414","0","0","59"
"Gloucestershire","82","12","687","!","!","177"
"Greenwich","26","9","277","18","5","358"
"Hackney","12","8","158","23","5","450"
"Halton","44","21","211","0","0","13"
"Hammersmith and Fulham","!","!","110","!","!","305"
"Hampshire","179","13","1,358","10","3","307"
"Haringey","17","9","194","18","4","448"
"Harrow","14","11","124","7","2","283"
"Hartlepool","31","11","271","0","0","22"
"Havering","22","9","236","!","!","160"
"Herefordshire","45","20","228","!","!","26"
"Hertfordshire","109","15","728","30","7","423"
"Hillingdon","20","10","210","13","3","416"
"Hounslow","21","12","170","12","5","249"
"Isle of Wight","32","18","177","0","0","14"
"Isles of Scilly","0","0","0","0","0","0"
"Islington","11","6","192","20","6","308"
"Kensington and Chelsea","!","!","34","!","!","161"
"Kent","240","16","1,543","23","2","1,009"
"Kingston Upon Hull, City of","89","14","615","!","!","107"
"Kingston upon Thames","7","8","92","!","!","104"
"Kirklees","79","19","413","17","7","244"
"Knowsley","27","12","232","0","0","19"
"Lambeth","!","!","94","22","4","498"
"Lancashire","212","12","1,771","24","9","274"
"Leeds","143","19","762","31","8","386"
"Leicester","58","14","409","26","11","245"
"Leicestershire","80","19","428","12","11","106"
"Lewisham","24","13","184","29","6","496"
"Lincolnshire","111","15","747","!","!","135"
"Liverpool","102","14","753","6","2","311"
"Luton","30","12","242","11","4","274"
"Manchester","97","14","679","62","8","755"
"Medway","75","18","414","7","9","82"
"Merton","15","16","93","!","!","145"
"Middlesbrough","50","12","427","8","9","88"
"Milton Keynes","40","14","294","7","4","163"
"Newcastle upon Tyne","91","15","608","12","7","164"
"Newham","11","7","162","12","2","524"
"Norfolk","172","15","1,130","12","8","157"
"North East Lincolnshire","46","14","320","!","!","31"
"North Lincolnshire","36","19","193","0","0","79"
"North Somerset","39","17","224","!","!","41"
"North Tyneside","38","9","409","!","!","33"
"North Yorkshire","61","14","423","0","0","54"
"Northamptonshire","133","16","852","20","6","350"
"Northumberland","83","18","473","!","!","23"
"Nottingham","75","20","377","32","12","277"
"Nottinghamshire","111","14","771","8","6","143"
"Oldham","72","19","384","24","11","215"
"Oxfordshire","73","12","591","17","6","265"
"Peterborough","50","15","336","6","4","150"
"Plymouth","79","18","434","!","!","53"
"Portsmouth","66","21","317","!","!","231"
"Reading","38","21","183","11","10","112"
"Redbridge","8","7","123","!","!","280"
"Redcar and Cleveland","31","12","259","0","0","32"
"Richmond upon Thames","7","7","99","!","!","97"
"Rochdale","77","26","291","20","13","152"
"Rotherham","81","14","580","7","6","108"
"Rutland","6","19","31","0","0","9"
"Salford","48","12","400","12","8","159"
"Sandwell","74","22","331","22","8","288"
"Sefton","47","12","383","!","!","41"
"Sheffield","84","16","526","37","14","271"
"Shropshire","18","8","236","!","!","43"
"Slough","20","14","138","22","10","225"
"Solihull","23","10","226","7","5","144"
"Somerset","93","17","541","!","!","63"
"South Gloucestershire","9","4","215","!","!","60"
"South Tyneside","45","15","293","!","!","36"
"Southampton","118","25","471","12","9","136"
"Southend-on-Sea","67","28","241","8","11","75"
"Southwark","12","8","156","19","3","552"
"St. Helens","55","17","333","!","!","20"
"Staffordshire","117","15","758","16","7","224"
"Stockport","43","11","395","!","!","87"
"Stockton-on-Tees","54","16","335","!","!","45"
"Stoke-on-Trent","74","20","364","6","7","89"
"Suffolk","133","18","735","13","5","250"
"Sunderland","114","13","903","!","!","53"
"Surrey","74","10","729","11","3","440"
"Sutton","27","13","213","7","6","118"
"Swindon","49","14","346","9","10","91"
"Tameside","62","13","475","!","!","105"
"Telford and Wrekin","76","30","255","!","!","48"
"Thurrock","31","11","277","!","!","382"
"Torbay","56","17","327","0","0","30"
"Tower Hamlets","15","13","115","18","4","406"
"Trafford","22","8","266","!","!","122"
"Wakefield","82","18","458","19","11","170"
"Walsall","64","16","393","27","15","180"
"Waltham Forest","8","6","139","8","3","304"
"Wandsworth","14","9","151","18","4","403"
"Warrington","57","17","340","!","!","51"
"Warwickshire","91","15","601","12","5","220"
"West Berkshire","16","10","155","!","!","58"
"West Sussex","103","15","692","16","6","289"
"Westminster","!","!","49","9","2","385"
"Wigan","73","18","398","!","!","65"
"Wiltshire","71","20","359","7","6","109"
"Windsor and Maidenhead","9","8","111","!","!","52"
"Wirral","83","14","579","!","!","52"
"Wokingham","9","9","105","!","!","42"
"Wolverhampton","76","29","265","31","16","190"
"Worcestershire","124","21","583","7","6","114"
"York","25","16","158","!","!","29"
