"","2015","","2016","","2017","","2018","","2019","","2020",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"All","100","69,470","100","70,410","100","72,600","100","75,370","100","78,140","100","80,080"
"Asian","4","2,670","4","3,080","5","3,370","4","3,390","4","3,480","4","3,480"
"Bangladeshi","1","460","1","420","1","410","1","410","1","410","1","420"
"Indian","~0","290","~0","290","~0","280","~0","320","~0","310","~0","300"
"Pakistani","1","870","1","860","1","890","1","940","1","1,020","1","1,020"
"Asian other","2","1,040","2","1,520","2","1,780","2","1,730","2","1,740","2","1,750"
"Black","7","4,990","7","5,250","7","5,270","7","5,420","8","5,960","7","5,860"
"Black Caribbean","2","1,490","2","1,390","2","1,420","2","1,350","2","1,340","2","1,370"
"Black African","4","2,590","4","2,950","4","2,840","4","2,980","4","3,420","4","3,260"
"Black other","1","910","1","910","1","1,020","1","1,090","2","1,200","2","1,230"
"Mixed","9","6,420","9","6,480","9","6,880","10","7,360","10","7,670","10","7,780"
"White/Black Caribbean","3","2,420","3","2,390","3","2,480","3","2,620","3","2,680","3","2,700"
"White/Black African","1","680","1","670","1","730","1","820","1","910","1","890"
"White/Asian","2","1,230","2","1,250","2","1,340","2","1,400","2","1,520","2","1,540"
"Mixed other","3","2,090","3","2,170","3","2,340","3","2,520","3","2,570","3","2,660"
"White","77","53,590","75","53,150","75","54,310","75","56,380","74","57,840","74","59,320"
"White British","73","50,410","71","49,880","70","50,920","70","52,830","69","54,130","69","55,570"
"White Irish","~0","280","~0","250","~0","220","~0","210","~0","200","~0","200"
"Irish Traveller","~0","80","~0","90","~0","100","~0","110","~0","120","~0","130"
"White other","4","2,550","4","2,640","4","2,720","4","2,840","4","2,930","4","2,930"
"Gypsy/Roma","~0","270","~0","290","~0","340","1","390","1","460","1","490"
"Other","2","1,580","3","2,240","3","2,500","3","2,510","4","2,790","4","2,930"
"Chinese","~0","60","~0","80","~0","80","~0","90","~0","100","~0","90"
"Any other","2","1,520","3","2,160","3","2,420","3","2,420","3","2,690","4","2,840"
"Unknown","~0","220","~0","220","~0","280","~0","310","1","410","1","710"
