"Year","Ethnicity","%","Number"
"2015","All","100","69,470"
"2015","Asian","4","2,670"
"2015","Bangladeshi","1","460"
"2015","Indian","~0","290"
"2015","Pakistani","1","870"
"2015","Asian other","2","1,040"
"2015","Black","7","4,990"
"2015","Black Caribbean","2","1,490"
"2015","Black African","4","2,590"
"2015","Black other","1","910"
"2015","Mixed","9","6,420"
"2015","White/Black Caribbean","3","2,420"
"2015","White/Black African","1","680"
"2015","White/Asian","2","1,230"
"2015","Mixed other","3","2,090"
"2015","White","77","53,590"
"2015","White British","73","50,410"
"2015","White Irish","~0","280"
"2015","Irish Traveller","~0","80"
"2015","White other","4","2,550"
"2015","Gypsy/Roma","~0","270"
"2015","Other","2","1,580"
"2015","Chinese","~0","60"
"2015","Any other","2","1,520"
"2015","Unknown","~0","220"
"2016","All","100","70,410"
"2016","Asian","4","3,080"
"2016","Bangladeshi","1","420"
"2016","Indian","~0","290"
"2016","Pakistani","1","860"
"2016","Asian other","2","1,520"
"2016","Black","7","5,250"
"2016","Black Caribbean","2","1,390"
"2016","Black African","4","2,950"
"2016","Black other","1","910"
"2016","Mixed","9","6,480"
"2016","White/Black Caribbean","3","2,390"
"2016","White/Black African","1","670"
"2016","White/Asian","2","1,250"
"2016","Mixed other","3","2,170"
"2016","White","75","53,150"
"2016","White British","71","49,880"
"2016","White Irish","~0","250"
"2016","Irish Traveller","~0","90"
"2016","White other","4","2,640"
"2016","Gypsy/Roma","~0","290"
"2016","Other","3","2,240"
"2016","Chinese","~0","80"
"2016","Any other","3","2,160"
"2016","Unknown","~0","220"
"2017","All","100","72,600"
"2017","Asian","5","3,370"
"2017","Bangladeshi","1","410"
"2017","Indian","~0","280"
"2017","Pakistani","1","890"
"2017","Asian other","2","1,780"
"2017","Black","7","5,270"
"2017","Black Caribbean","2","1,420"
"2017","Black African","4","2,840"
"2017","Black other","1","1,020"
"2017","Mixed","9","6,880"
"2017","White/Black Caribbean","3","2,480"
"2017","White/Black African","1","730"
"2017","White/Asian","2","1,340"
"2017","Mixed other","3","2,340"
"2017","White","75","54,310"
"2017","White British","70","50,920"
"2017","White Irish","~0","220"
"2017","Irish Traveller","~0","100"
"2017","White other","4","2,720"
"2017","Gypsy/Roma","~0","340"
"2017","Other","3","2,500"
"2017","Chinese","~0","80"
"2017","Any other","3","2,420"
"2017","Unknown","~0","280"
"2018","All","100","75,370"
"2018","Asian","4","3,390"
"2018","Bangladeshi","1","410"
"2018","Indian","~0","320"
"2018","Pakistani","1","940"
"2018","Asian other","2","1,730"
"2018","Black","7","5,420"
"2018","Black Caribbean","2","1,350"
"2018","Black African","4","2,980"
"2018","Black other","1","1,090"
"2018","Mixed","10","7,360"
"2018","White/Black Caribbean","3","2,620"
"2018","White/Black African","1","820"
"2018","White/Asian","2","1,400"
"2018","Mixed other","3","2,520"
"2018","White","75","56,380"
"2018","White British","70","52,830"
"2018","White Irish","~0","210"
"2018","Irish Traveller","~0","110"
"2018","White other","4","2,840"
"2018","Gypsy/Roma","1","390"
"2018","Other","3","2,510"
"2018","Chinese","~0","90"
"2018","Any other","3","2,420"
"2018","Unknown","~0","310"
"2019","All","100","78,140"
"2019","Asian","4","3,480"
"2019","Bangladeshi","1","410"
"2019","Indian","~0","310"
"2019","Pakistani","1","1,020"
"2019","Asian other","2","1,740"
"2019","Black","8","5,960"
"2019","Black Caribbean","2","1,340"
"2019","Black African","4","3,420"
"2019","Black other","2","1,200"
"2019","Mixed","10","7,670"
"2019","White/Black Caribbean","3","2,680"
"2019","White/Black African","1","910"
"2019","White/Asian","2","1,520"
"2019","Mixed other","3","2,570"
"2019","White","74","57,840"
"2019","White British","69","54,130"
"2019","White Irish","~0","200"
"2019","Irish Traveller","~0","120"
"2019","White other","4","2,930"
"2019","Gypsy/Roma","1","460"
"2019","Other","4","2,790"
"2019","Chinese","~0","100"
"2019","Any other","3","2,690"
"2019","Unknown","1","410"
"2020","All","100","80,080"
"2020","Asian","4","3,480"
"2020","Bangladeshi","1","420"
"2020","Indian","~0","300"
"2020","Pakistani","1","1,020"
"2020","Asian other","2","1,750"
"2020","Black","7","5,860"
"2020","Black Caribbean","2","1,370"
"2020","Black African","4","3,260"
"2020","Black other","2","1,230"
"2020","Mixed","10","7,780"
"2020","White/Black Caribbean","3","2,700"
"2020","White/Black African","1","890"
"2020","White/Asian","2","1,540"
"2020","Mixed other","3","2,660"
"2020","White","74","59,320"
"2020","White British","69","55,570"
"2020","White Irish","~0","200"
"2020","Irish Traveller","~0","130"
"2020","White other","4","2,930"
"2020","Gypsy/Roma","1","490"
"2020","Other","4","2,930"
"2020","Chinese","~0","90"
"2020","Any other","4","2,840"
"2020","Unknown","1","710"
