"Year","Ethnicity","% "
"2012","All","38.05"
"2012","Bangladeshi","35.16"
"2012","Chinese","32.94"
"2012","Indian","34.33"
"2012","Pakistani","36.06"
"2012","Asian other","34.89"
"2012","Black","35.42"
"2012","Mixed","32.16"
"2012","White","38.48"
"2012","White Gypsy / Traveller","?"
"2012","Arab","34.72"
"2012","Other","30.18"
"2013","All","39.22"
"2013","Bangladeshi","40.22"
"2013","Chinese","32.68"
"2013","Indian","34.80"
"2013","Pakistani","38.62"
"2013","Asian other","35.32"
"2013","Black","38.06"
"2013","Mixed","42.08"
"2013","White","39.50"
"2013","White Gypsy / Traveller","?"
"2013","Arab","28.52"
"2013","Other","33.65"
"2014","All","40.49"
"2014","Bangladeshi","42.60"
"2014","Chinese","34.97"
"2014","Indian","37.79"
"2014","Pakistani","39.03"
"2014","Asian other","39.43"
"2014","Black","41.03"
"2014","Mixed","34.18"
"2014","White","40.74"
"2014","White Gypsy / Traveller","?"
"2014","Arab","30.27"
"2014","Other","37.57"
"2015","All","40.62"
"2015","Bangladeshi","39.06"
"2015","Chinese","38.85"
"2015","Indian","38.16"
"2015","Pakistani","41.33"
"2015","Asian other","37.48"
"2015","Black","42.01"
"2015","Mixed","32.34"
"2015","White","41.20"
"2015","White Gypsy / Traveller","?"
"2015","Arab","30.52"
"2015","Other","39.20"
"2016","All","40.33"
"2016","Bangladeshi","39.32"
"2016","Chinese","38.30"
"2016","Indian","38.86"
"2016","Pakistani","36.72"
"2016","Asian other","39.26"
"2016","Black","40.78"
"2016","Mixed","35.01"
"2016","White","40.54"
"2016","White Gypsy / Traveller","?"
"2016","Arab","33.85"
"2016","Other","39.09"
"2017","All","40.21"
"2017","Bangladeshi","37.35"
"2017","Chinese","34.40"
"2017","Indian","36.79"
"2017","Pakistani","42.73"
"2017","Asian other","40.86"
"2017","Black","38.62"
"2017","Mixed","36.63"
"2017","White","40.49"
"2017","White Gypsy / Traveller","?"
"2017","Arab","32.91"
"2017","Other","36.64"
"2018","All","41.19"
"2018","Bangladeshi","43.53"
"2018","Chinese","35.25"
"2018","Indian","39.65"
"2018","Pakistani","43.24"
"2018","Asian other","41.98"
"2018","Black","44.04"
"2018","Mixed","37.44"
"2018","White","41.27"
"2018","White Gypsy / Traveller","?"
"2018","Arab","32.55"
"2018","Other","36.31"
