"","2012","2013","2014","2015","2016","2017","2018"
"Ethnicity","%","%","%","%","%","%","%"
"All","31.49","32.29","33.72","34.24","34.58","35.11","35.06"
"Bangladeshi","33.43","35.06","37.86","34.25","37.26","37.52","37.37"
"Chinese","27.25","29.43","34.10","33.51","30.68","27.89","28.93"
"Indian","35.74","32.68","34.90","35.80","38.58","38.52","38.69"
"Pakistani","30.68","32.08","34.38","36.04","35.67","36.92","37.94"
"Asian other","31.49","34.64","31.44","34.03","34.29","37.35","38.81"
"Black","29.36","32.36","33.02","32.53","34.43","33.73","37.47"
"Mixed","24.73","31.93","28.66","28.80","30.77","26.87","31.49"
"White","31.59","32.32","33.80","34.32","34.53","35.16","34.90"
"White Gypsy / Traveller","?","?","?","?","?","?","?"
"Arab","23.73","23.28","26.29","31.87","33.47","27.11","31.56"
"Other","28.56","30.41","32.39","32.80","34.02","36.92","33.90"
