"","Low","Medium","High","Very High"
"Ethnicity","%","%","%","%"
"All","8.08","15.99","40.86","35.06"
"Bangladeshi","?","18.91","37.15","37.37"
"Chinese","?","18.80","47.08","28.93"
"Indian","7.39","15.00","38.92","38.69"
"Pakistani","8.48","16.69","36.89","37.94"
"Asian other","6.77","13.67","40.75","38.81"
"Black","8.43","18.40","35.70","37.47"
"Mixed","10.26","17.72","40.53","31.49"
"White","8.09","15.88","41.13","34.90"
"White Gypsy / Traveller","?","?","?","?"
"Arab","?","18.95","36.45","31.56"
"Other","6.98","16.12","43.00","33.90"
