"Year","Ethnicity","%"
"2012","All","31.50"
"2012","Bangladeshi","28.51"
"2012","Chinese","22.62"
"2012","Indian","31.64"
"2012","Pakistani","30.95"
"2012","Asian other","29.58"
"2012","Black","30.08"
"2012","Mixed","27.34"
"2012","White","31.73"
"2012","White Gypsy / Traveller","?"
"2012","Arab","27.40"
"2012","Other","27.18"
"2013","All","32.33"
"2013","Bangladeshi","32.04"
"2013","Chinese","20.42"
"2013","Indian","30.70"
"2013","Pakistani","30.77"
"2013","Asian other","32.27"
"2013","Black","31.84"
"2013","Mixed","35.63"
"2013","White","32.51"
"2013","White Gypsy / Traveller","?"
"2013","Arab","27.20"
"2013","Other","28.80"
"2014","All","33.86"
"2014","Bangladeshi","34.77"
"2014","Chinese","26.22"
"2014","Indian","31.40"
"2014","Pakistani","34.37"
"2014","Asian other","33.77"
"2014","Black","33.26"
"2014","Mixed","29.10"
"2014","White","34.08"
"2014","White Gypsy / Traveller","?"
"2014","Arab","24.99"
"2014","Other","31.19"
"2015","All","34.46"
"2015","Bangladeshi","35.69"
"2015","Chinese","27.70"
"2015","Indian","33.92"
"2015","Pakistani","34.48"
"2015","Asian other","30.71"
"2015","Black","33.46"
"2015","Mixed","31.84"
"2015","White","34.63"
"2015","White Gypsy / Traveller","?"
"2015","Arab","36.85"
"2015","Other","31.48"
"2016","All","34.92"
"2016","Bangladeshi","30.95"
"2016","Chinese","26.04"
"2016","Indian","33.83"
"2016","Pakistani","35.88"
"2016","Asian other","33.87"
"2016","Black","33.37"
"2016","Mixed","32.02"
"2016","White","35.15"
"2016","White Gypsy / Traveller","?"
"2016","Arab","33.55"
"2016","Other","32.94"
"2017","All","35.70"
"2017","Bangladeshi","34.74"
"2017","Chinese","24.26"
"2017","Indian","34.43"
"2017","Pakistani","37.90"
"2017","Asian other","34.13"
"2017","Black","35.44"
"2017","Mixed","30.37"
"2017","White","35.89"
"2017","White Gypsy / Traveller","?"
"2017","Arab","32.62"
"2017","Other","35.49"
"2018","All","36.00"
"2018","Bangladeshi","29.75"
"2018","Chinese","27.42"
"2018","Indian","34.65"
"2018","Pakistani","36.87"
"2018","Asian other","36.03"
"2018","Black","36.34"
"2018","Mixed","33.06"
"2018","White","36.16"
"2018","White Gypsy / Traveller","?"
"2018","Arab","41.26"
"2018","Other","32.86"
