"","Low","Medium","High","Very High"
"Ethnicity","%","%","%","%"
"All","4.41","13.40","51.43","30.46"
"Bangladeshi","?","18.99","48.30","28.22"
"Chinese","?","16.02","57.44","24.20"
"Indian","3.27","14.22","50.57","31.94"
"Pakistani","4.97","16.00","46.33","32.70"
"Asian other","?","15.19","50.81","31.38"
"Black","6.38","23.06","43.38","27.17"
"Mixed","7.09","16.03","52.35","24.53"
"White","4.35","12.87","52.13","30.66"
"White Gypsy / Traveller","?","?","?","?"
"Arab","?","15.52","43.88","33.16"
"Other","4.30","15.96","53.52","26.22"
