"Ethnicity","Time","£"
"White","2003","227"
"White","2004","234"
"White","2005","256"
"White","2006","332"
"White","2007","320"
"White","2008","341"
"White","2009","366"
"White","2010","372"
"White","2011","404"
"White","2012","401"
"White","2013","373"
"White","2014","375"
"White","2015","352"
"White","2016","332"
"White","2017","327"
"Other than White","2003","216"
"Other than White","2004","229"
"Other than White","2005","208"
"Other than White","2006","262"
"Other than White","2007","272"
"Other than White","2008","305"
"Other than White","2009","288"
"Other than White","2010","263"
"Other than White","2011","299"
"Other than White","2012","326"
"Other than White","2013","370"
"Other than White","2014","358"
"Other than White","2015","327"
"Other than White","2016","335"
"Other than White","2017","299"
