"Ethnicity","Year","£"
"White","2009/11","347"
"White","2010/12","343"
"White","2011/13","333"
"White","2012/14","327"
"White","2013/15","321"
"White","2014/16","297"
"White","2015/17","282"
"White","2016/18","263"
"White","2017/19","246"
"White","2018/20","238"
"White","2019/21","233"
"Other than White","2009/11","301"
"Other than White","2010/12","274"
"Other than White","2011/13","265"
"Other than White","2012/14","291"
"Other than White","2013/15","287"
"Other than White","2014/16","242"
"Other than White","2015/17","239"
"Other than White","2016/18","231"
"Other than White","2017/19","199"
"Other than White","2018/20","177"
"Other than White","2019/21","171"
