"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","White British","ONS 2011 18+1","England","All","All","All","All","3.511834802","670","19092","9762"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","2.446766739","5","211","113"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","2"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","3.885045677","47","1208","678"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","11.85970833","11","91","49"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","10.01981319","6","57","47"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","?","?","?","26"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","0","0","121","54"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","2.535403394","12","482","210"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","6.06788515","19","319","144"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","12.16668488","18","146","82"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","1.740060579","2","94","40"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","8.978792183","18","204","95"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","9.607941688","41","432","291"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","2.262487316","7","289","170"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","?","?","?","15"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","2.134553679","2","95","46"
"Percentage of households with damp problems","2016-17 and 2017-18","Two years","Other","ONS 2011 18+1","England","All","All","All","All","3.657354754","10","273","131"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","3.7","703","19010","9868"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","3.4","7","192","109"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","3"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","5.5","62","1129","610"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","4.8","5","96","50"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","10.5","8","74","52"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","?","?","?","28"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","0","0","69","30"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","4.8","22","463","188"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","9.9","33","331","142"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","8.2","11","135","76"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","0","0","87","36"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","11.1","25","224","97"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","7.6","32","414","280"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","4.2","14","334","169"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","?","?","?","15"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","11.3","10","85","45"
"Percentage of households with damp problems","2015-16 and 2016-17","Two years","Any Other","ONS 2011 18+1","England","All","All","All","All","5.7","14","247","121"
