"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator ('000s)","Denominator ('000s)","Sample_size"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","White British","ONS 2011 18+1","England","All","All","All","All","3.1","597","19313","19611"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","White Irish","ONS 2011 18+1","England","All","All","All","All","0.7","2","215","209"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","3"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","White Other","ONS 2011 18+1","England","All","All","All","All","4","49","1220","1340"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","13.1","10","74","91"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","10.6","5","46","86"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","0","0","63","62"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","0","0","93","98"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Indian","ONS 2011 18+1","England","All","All","All","All","1.7","9","514","419"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Pakistani","ONS 2011 18+1","England","All","All","All","All","8","27","342","282"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","10.2","11","112","131"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Chinese","ONS 2011 18+1","England","All","All","All","All","2.4","3","135","100"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Asian Other","ONS 2011 18+1","England","All","All","All","All","4.4","9","206","202"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Black African","ONS 2011 18+1","England","All","All","All","All","9.4","42","448","558"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","1.7","5","302","342"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Black Other","ONS 2011 18+1","England","All","All","All","All","9.7","2","24","33"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Arab","ONS 2011 18+1","England","All","All","All","All","2.8","2","59","79"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","Any Other","ONS 2011 18+1","England","All","All","All","All","0.9","2","230","257"
"Percentage of households with damp","2016-17, 2017-18 and 2018-19","Three years","All","ONS 2011 18+1","England","All","All","All","All","3","775","23400","23903"
