"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator ('000s)","Denominator ('000s)","Sample_size"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","White British","ONS 2011 18+1","England","All","All","All","All","17.61","3402","19313","18302"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","White Irish","ONS 2011 18+1","England","All","All","All","All","18.48","40","215","193"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","u","u","u","5"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","White Other","ONS 2011 18+1","England","All","All","All","All","15.54","190","1220","1252"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","14.71","11","74","87"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","32.6","15","46","77"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","3.74","2","63","60"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","11.24","10","93","95"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Indian","ONS 2011 18+1","England","All","All","All","All","11.31","58","514","394"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Pakistani","ONS 2011 18+1","England","All","All","All","All","16.9","58","342","269"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","24","27","112","123"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Chinese","ONS 2011 18+1","England","All","All","All","All","5.22","7","135","99"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Asian Other","ONS 2011 18+1","England","All","All","All","All","18.01","37","206","189"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Black African","ONS 2011 18+1","England","All","All","All","All","16.02","72","448","538"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","19.86","60","302","326"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Black Other","ONS 2011 18+1","England","All","All","All","All","9.8","2","24","34"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Arab","ONS 2011 18+1","England","All","All","All","All","10.5","6","59","75"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","Any Other","ONS 2011 18+1","England","All","All","All","All","17.47","40","230","234"
"Percentage of households in non-decent home","2016-17, 2017-18 and 2018-19","Three years","All","ONS 2011 18+1","England","All","All","All","All","17","4037","23400","22352"
