"Ethnicity","Region","%","Overcrowded households","All households"
"All","North East","2","19","1,167"
"All","North West","3","84","3,145"
"All","Yorkshire and the Humber","2","50","2,305"
"All","East Midlands","3","51","1,987"
"All","West Midlands","3","83","2,412"
"All","East","2","61","2,561"
"All","London","8","285","3,464"
"All","South East","3","112","3,778"
"All","South West","2","41","2,458"
"White British","North East","2","17","1,097"
"White British","North West","1","40","2,754"
"White British","Yorkshire and the Humber","2","32","2,033"
"White British","East Midlands","2","27","1,724"
"White British","West Midlands","2","38","1,953"
"White British","East","2","38","2,203"
"White British","London","3","55","1,684"
"White British","South East","2","69","3,272"
"White British","South West","1","29","2,271"
"Other than White British","North East","3","2","69"
"Other than White British","North West","11","44","392"
"Other than White British","Yorkshire and the Humber","6","18","273"
"Other than White British","East Midlands","9","24","264"
"Other than White British","West Midlands","10","46","458"
"Other than White British","East","7","23","358"
"Other than White British","London","13","230","1,779"
"Other than White British","South East","9","43","506"
"Other than White British","South West","7","12","187"
