"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Tenure","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","White British","ONS 2011 18+1","England","All","All","All","All","All","2","344","18991","32546",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","White Irish","ONS 2011 18+1","England","All","All","All","All","All","4","8","207","333",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","All","?","?","?","16","Suppress"
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","White Other","ONS 2011 18+1","England","All","All","All","All","All","9","119","1292","2153",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","All","8","7","86","141",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","All","14","10","70","127",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","All","4","2","58","97",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","All","8","6","77","126",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","Indian","ONS 2011 18+1","England","All","All","All","All","All","7","36","551","865",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","Pakistani","ONS 2011 18+1","England","All","All","All","All","All","18","65","368","610",""
"Percentage of households in an overcrowded home","2016-17, 2017-18 and 2018-19","Three years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","All","24","36","150","263",""
