"","White British","","","Other than White British","",""
"Income_band","%","Homeowners ('000s)","All households ('000s)","%","Homeowners ('000s)","All households ('000s)"
"Up to £99","21","37","179","20","8","40"
"£100 to £199","40","598","1,501","21","65","311"
"£200 to £299","50","1,007","2,008","28","122","430"
"£300 to £399","57","1,147","2,028","31","137","447"
"£400 to £499","64","1,123","1,767","33","120","362"
"£500 to £599","67","1,110","1,668","31","134","432"
"£600 to £699","71","1,119","1,576","38","143","373"
"£700 to £799","75","962","1,282","46","128","279"
"£800 to £899","79","903","1,148","38","108","281"
"£900 to £999","80","747","936","56","107","190"
"£1000 and above","86","4,005","4,636","60","668","1,117"
