"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White British","ONS 2011 18+1","England","All","All","All","All","68.12514457","12851","18863","21556"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","56.32688461","120","213","233"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","29.71161152","388","1307","1420"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","32.16964928","30","93","102"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","34.06423961","29","85","97"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","70.3166572","36","52","61"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","42.43383405","31","73","78"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","73.77612855","406","550","563"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","57.8657488","207","358","399"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","45.63250836","69","152","181"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","44.96525285","50","111","131"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","38.94767452","74","190","206"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","20.41597917","88","431","556"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","40.30182994","124","308","348"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","36.7949705","12","32","35"
