"","White British","","","Other than White British","",""
"Income_band","%","Private renters ('000s)","All households ('000s)","%","Private renters ('000s)","All households ('000s)"
"Up to £99","27","48","179","26","11","40"
"£100 to £199","15","220","1,501","28","86","311"
"£200 to £299","18","355","2,008","36","155","430"
"£300 to £399","18","366","2,028","38","170","447"
"£400 to £499","19","329","1,767","43","154","362"
"£500 to £599","19","315","1,668","46","200","432"
"£600 to £699","17","262","1,576","44","164","373"
"£700 to £799","16","209","1,282","43","120","279"
"£800 to £899","16","178","1,148","49","136","281"
"£900 to £999","15","136","936","32","61","190"
"£1000 and above","11","512","4,636","35","392","1,117"
