"Ethnicity","Age group","%","Private renters ('000s)","All households ('000s)"
"White British","16 - 24","63","363","580"
"White British","25 - 34","37","859","2,297"
"White British","35 - 44","22","614","2,773"
"White British","45 - 54","12","462","3,705"
"White British","55 - 64","8","283","3,373"
"White British","65 or over","6","364","6,136"
"Other than White British","16 - 24","79","160","202"
"Other than White British","25 - 34","61","618","1,009"
"Other than White British","35 - 44","42","505","1,218"
"Other than White British","45 - 54","31","260","844"
"Other than White British","55 - 64","17","84","499"
"Other than White British","65 or over","6","33","526"
