"","East Midlands","East of England","London","North East","North West","South East","South West","West Midlands","Yorkshire & Humber"
"Ethnicity","%","%","%","%","%","%","%","%","%"
"Asian","","","","","","","","",""
"Bangladeshi","29","34","40","24","27","34","29","31","30"
"Chinese","28","33","46","26","33","30","40","31","34"
"Indian","33","37","47","26","35","39","31","36","37"
"Pakistani","31","33","42","31","32","35","36","32","32"
"Asian other","33","34","43","34","35","37","35","39","35"
"Black","","","","","","","","",""
"Black African","33","37","42","31","33","38","33","35","33"
"Black Caribbean","35","42","45","35","36","42","36","37","35"
"Black other","35","38","46","33","36","37","37","36","33"
"Mixed","","","","","","","","",""
"Mixed White/Asian","36","38","49","39","35","38","32","37","35"
"Mixed White/Black African","35","38","45","36","35","38","35","34","33"
"Mixed White/Black Caribbean","36","38","47","29","36","39","39","38","34"
"Mixed other","34","36","44","32","35","38","34","37","33"
"White","","","","","","","","",""
"White British","34","37","46","33","34","38","34","35","34"
"White Irish","35","38","49","40","36","40","38","37","35"
"White Gypsy/Traveller","31","41","45","29","32","40","34","31","27"
"White other","28","34","43","29","29","36","28","31","27"
"Other","","","","","","","","",""
"Arab","31","36","42","31","35","37","35","37","33"
"Any other","35","35","43","41","35","35","34","39","34"
