"TIme","Ethnicity","%"
"2015/16","All","N/A"
"2015/16","Asian",""
"2015/16","Bangladeshi","38"
"2015/16","Chinese","38"
"2015/16","Indian","38"
"2015/16","Pakistani","34"
"2015/16","Asian other","39"
"2015/16","Black",""
"2015/16","Black African","38"
"2015/16","Black Caribbean","43"
"2015/16","Black other","40"
"2015/16","Mixed",""
"2015/16","Mixed White/Asian","40"
"2015/16","Mixed White/Black African","39"
"2015/16","Mixed White/Black Caribbean","40"
"2015/16","Mixed other","38"
"2015/16","White",""
"2015/16","White British","37"
"2015/16","White Irish","40"
"2015/16","White Gypsy/Traveller","39"
"2015/16","White other","34"
"2015/16","Other",""
"2015/16","Arab","38"
"2015/16","Any other","38"
"2016/17","All","36"
"2016/17","Asian",""
"2016/17","Bangladeshi","36"
"2016/17","Chinese","40"
"2016/17","Indian","38"
"2016/17","Pakistani","34"
"2016/17","Asian other","38"
"2016/17","Black",""
"2016/17","Black African","38"
"2016/17","Black Caribbean","41"
"2016/17","Black other","37"
"2016/17","Mixed",""
"2016/17","Mixed White/Asian","39"
"2016/17","Mixed White/Black African","38"
"2016/17","Mixed White/Black Caribbean","39"
"2016/17","Mixed other","38"
"2016/17","White",""
"2016/17","White British","36"
"2016/17","White Irish","40"
"2016/17","White Gypsy/Traveller","37"
"2016/17","White other","34"
"2016/17","Other",""
"2016/17","Arab","38"
"2016/17","Any other","37"
"2017/18","All","35"
"2017/18","Asian",""
"2017/18","Bangladeshi","35"
"2017/18","Chinese","36"
"2017/18","Indian","37"
"2017/18","Pakistani","33"
"2017/18","Asian other","37"
"2017/18","Black",""
"2017/18","Black African","37"
"2017/18","Black Caribbean","40"
"2017/18","Black other","38"
"2017/18","Mixed",""
"2017/18","Mixed White/Asian","37"
"2017/18","Mixed White/Black African","37"
"2017/18","Mixed White/Black Caribbean","39"
"2017/18","Mixed other","37"
"2017/18","White",""
"2017/18","White British","35"
"2017/18","White Irish","39"
"2017/18","White Gypsy/Traveller","36"
"2017/18","White other","33"
"2017/18","Other",""
"2017/18","Arab","36"
"2017/18","Any other","38"
