"Measure","Time","Time_type","Geography_code","Geography_name","Geography_type","Ethnicity","Ethnicity_type","Value"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","White British","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","White Irish","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","White other","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Mixed White/Black African","ONS 18+1","39"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Mixed White/Black African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Mixed White/Asian","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Mixed other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Indian","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Pakistani","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Bangladeshi","ONS 18+1","35"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Asian other","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Black Caribbean","ONS 18+1","40"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Black African","ONS 18+1","37"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Black other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Chinese","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Any other","ONS 18+1","38"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","White Gypsy/Traveller","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Arab","ONS 18+1","36"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Asian","ONS 5+1 2011","35"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Black","ONS 5+1 2011","38"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Mixed","ONS 5+1 2011","38"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","White","ONS 5+1 2011","37"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","Other","ONS 5+1 2011","35"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E92000001","England","Country","All","All","35"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E12000001","North East","Region","White British","ONS 18+1","33"
"Percentage of income spent on rent for new social housing","2017/18","Financial year","E12000002","North West","Region","White British","ONS 18+1","34"
