"Tenancy Length","Ethnicity","2015/16 %","2016/17 %","2017/18 %"
"2 years or less","All","25.0","23.4","22.1"
"2 years or less","Asian","18.2","17.8","20.3"
"2 years or less","Bangladeshi","11.6","11.5","11.4"
"2 years or less","Chinese","18.7","16.1","18.1"
"2 years or less","Indian","23.3","22.0","30.3"
"2 years or less","Pakistani","23.4","20.7","25.4"
"2 years or less","Asian other","17.3","18.9","18.1"
"2 years or less","Black","18.7","21.0","19.3"
"2 years or less","Black African","16.7","18.8","17.6"
"2 years or less","Black Caribbean","21.7","23.6","21.2"
"2 years or less","Black other","19.2","24.3","22.3"
"2 years or less","Mixed","24.8","25.2","24.0"
"2 years or less","Mixed White/Asian","27.7","30.4","29.1"
"2 years or less","Mixed White/Black African","22.6","19.2","24.7"
"2 years or less","Mixed White/Black Caribbean","27.1","28.6","23.4"
"2 years or less","Mixed other","21.0","20.2","22.3"
"2 years or less","White","26.4","23.9","22.5"
"2 years or less","White British","27.1","24.5","23.0"
"2 years or less","White Irish","28.5","25.4","30.5"
"2 years or less","White Gypsy/Traveller","17.9","21.7","23.7"
"2 years or less","White other","15.3","14.0","12.7"
"2 years or less","Other","22.5","25.0","19.9"
"2 years or less","Arab","19.4","26.0","21.4"
"2 years or less","Any other","23.6","24.6","18.8"
"3 to 5 years","All","54.9","63.3","65.4"
"3 to 5 years","Asian","63.0","71.6","66.8"
"3 to 5 years","Bangladeshi","75.4","80.3","80.9"
"3 to 5 years","Chinese","55.1","73.7","67.0"
"3 to 5 years","Indian","57.1","65.6","57.1"
"3 to 5 years","Pakistani","59.1","69.9","62.4"
"3 to 5 years","Asian other","58.6","68.3","65.2"
"3 to 5 years","Black","56.4","65.4","69.9"
"3 to 5 years","Black African","59.2","67.1","71.5"
"3 to 5 years","Black Caribbean","51.6","64.0","70.0"
"3 to 5 years","Black other","58.0","61.0","61.7"
"3 to 5 years","Mixed","55.0","64.3","65.5"
"3 to 5 years","Mixed White/Asian","52.1","61.0","58.3"
"3 to 5 years","Mixed White/Black African","55.0","67.3","65.9"
"3 to 5 years","Mixed White/Black Caribbean","54.1","62.9","66.8"
"3 to 5 years","Mixed other","57.9","66.8","66.5"
"3 to 5 years","White","54.0","62.5","64.8"
"3 to 5 years","White British","53.3","61.8","64.2"
"3 to 5 years","White Irish","52.2","63.8","60.6"
"3 to 5 years","White Gypsy/Traveller","51.3","62.7","67.1"
"3 to 5 years","White other","64.4","72.6","74.8"
"3 to 5 years","Other","60.7","65.4","70.7"
"3 to 5 years","Arab","68.3","64.7","69.8"
"3 to 5 years","Any other","58.0","65.7","71.8"
"6 to 9 years","All","17.7","11.5","10.6"
"6 to 9 years","Asian","16.4","10.0","11.3"
"6 to 9 years","Bangladeshi","10.1","7.5","4.2"
"6 to 9 years","Chinese","23.6","10.2","11.7"
"6 to 9 years","Indian","17.6","12.1","11.3"
"6 to 9 years","Pakistani","15.3","9.1","11.8"
"6 to 9 years","Asian other","21.7","11.8","15.4"
"6 to 9 years","Black","22.5","12.8","9.6"
"6 to 9 years","Black African","22.0","13.2","10.0"
"6 to 9 years","Black Caribbean","23.9","11.8","7.5"
"6 to 9 years","Black other","20.5","13.8","14.6"
"6 to 9 years","Mixed","18.0","9.5","8.6"
"6 to 9 years","Mixed White/Asian","17.9","8.6","11.0"
"6 to 9 years","Mixed White/Black African","18.4","11.5","7.9"
"6 to 9 years","Mixed White/Black Caribbean","17.3","7.8","8.3"
"6 to 9 years","Mixed other","19.1","12.0","8.4"
"6 to 9 years","White","17.2","11.6","10.7"
"6 to 9 years","White British","17.1","11.6","10.8"
"6 to 9 years","White Irish","17.0","10.5","7.6"
"6 to 9 years","White Gypsy/Traveller","30.8","14.4","9.2"
"6 to 9 years","White other","18.7","12.3","10.9"
"6 to 9 years","Other","15.5","8.1","8.6"
"6 to 9 years","Arab","11.2","7.1","7.7"
"6 to 9 years","Any other","17.1","8.5","!"
"10 or more years","All","2.4","1.8","1.9"
"10 or more years","Asian","2.4","0.6","1.7"
"10 or more years","Bangladeshi","2.9","0.7","3.5"
"10 or more years","Chinese","2.6","0.0","3.2"
"10 or more years","Indian","2.0","!","1.3"
"10 or more years","Pakistani","2.2","!","0.4"
"10 or more years","Asian other","2.3","0.9","1.3"
"10 or more years","Black","2.3","0.8","1.1"
"10 or more years","Black African","2.0","0.9","0.9"
"10 or more years","Black Caribbean","2.8","0.6","1.4"
"10 or more years","Black other","2.3","0.9","1.4"
"10 or more years","Mixed","2.1","1.0","1.8"
"10 or more years","Mixed White/Asian","2.2","0.0","1.6"
"10 or more years","Mixed White/Black African","4.0","2.0","1.5"
"10 or more years","Mixed White/Black Caribbean","1.4","0.8","1.5"
"10 or more years","Mixed other","2.0","1.0","2.7"
"10 or more years","White","2.4","2.0","2.0"
"10 or more years","White British","2.5","2.0","2.0"
"10 or more years","White Irish","2.4","!","1.2"
"10 or more years","White Gypsy/Traveller","0.0","!","0.0"
"10 or more years","White other","1.7","1.1","1.6"
"10 or more years","Other","1.3","1.5","0.7"
"10 or more years","Arab","1.1","2.3","1.2"
"10 or more years","Any other","1.4","1.2","!"
