"","2 years or less","","3 to 5 years","","6 to 9 years","","10 or more years",""
"Ethnicity","%","Number ","%","Number ","%","Number ","%","Number "
"All","22.1","11,915","65.4","35,206","10.6","5,693","1.9","1,013"
"Asian","20.3","536","66.8","1,767","11.3","299","1.7","44"
"Bangladeshi","11.4","66","80.9","467","4.2","24","3.5","20"
"Chinese","18.1","17","67.0","63","11.7","11","3.2","3"
"Indian","30.3","118","57.1","222","11.3","44","1.3","5"
"Pakistani","25.4","170","62.4","418","11.8","79","0.4","3"
"Asian other","18.1","166","65.2","598","15.4","141","1.3","12"
"Black","19.3","812","69.9","2,941","9.6","405","1.1","48"
"Black African","17.6","415","71.5","1,683","10.0","236","0.9","21"
"Black Caribbean","21.2","300","70.0","992","7.5","106","1.4","20"
"Black other","22.3","96","61.7","266","14.6","63","1.4","6"
"Mixed","24.0","500","65.5","1,363","8.6","179","1.8","38"
"Mixed White/Asian","29.1","74","58.3","148","11.0","28","1.6","4"
"Mixed White/Black African","24.7","81","65.9","216","7.9","26","1.5","5"
"Mixed White/Black Caribbean","23.4","223","66.8","636","8.3","79","1.5","14"
"Mixed other","22.3","122","66.5","363","8.4","46","2.7","15"
"White","22.5","9,958","64.8","28,748","10.7","4,764","2.0","879"
"White British","23.0","9,547","64.2","26,679","10.8","4,466","2.0","836"
"White Irish","30.5","76","60.6","151","7.6","19","1.2","3"
"White Gypsy/Traveller","23.7","18","67.1","51","9.2","7","0.0","0"
"White other","12.7","317","74.8","1,867","10.9","272","1.6","40"
"Other","19.9","109","70.7","387","8.6","47","0.7","4"
"Arab","21.4","53","69.8","173","7.7","19","1.2","3"
"Any other","18.8","56","71.8","214","!","!","!","!"
