"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Source of Referral","Value","Numerator","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Internal transfer","12.8","30163","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Irish","ONS 18+1","Internal transfer","15.5","249","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Other","ONS 18+1","Internal transfer","8.6","975","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Internal transfer","11.8","487","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Internal transfer","10.9","171","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Internal transfer","11.3","134","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: Other","ONS 18+1","Internal transfer","9","214","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Internal transfer","10.2","202","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Internal transfer","8.4","372","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Internal transfer","11.7","340","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Internal transfer","10.4","500","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Internal transfer","14.1","924","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Internal transfer","12","1344","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Internal transfer","17.8","534","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Internal transfer","11.9","50","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Internal transfer","9.1","194","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Internal transfer","10","38","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Internal transfer","10.7","162","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Tenant applied direct","46.8","110518","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Irish","ONS 18+1","Tenant applied direct","39.5","634","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Other","ONS 18+1","Tenant applied direct","51.1","5815","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Tenant applied direct","36.9","1525","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Tenant applied direct","44.3","696","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Tenant applied direct","35.5","421","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: Other","ONS 18+1","Tenant applied direct","41.6","986","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Tenant applied direct","41.6","823","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Tenant applied direct","43.6","1940","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Tenant applied direct","44.6","1294","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Tenant applied direct","48.2","2306","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Tenant applied direct","36.3","2380","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Tenant applied direct","42.8","4812","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Tenant applied direct","46.6","1398","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Tenant applied direct","42.3","178","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Tenant applied direct","54.1","1147","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Tenant applied direct","44.2","166","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Tenant applied direct","44.5","675","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Nominated by local housing authority","25.3","59750","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Irish","ONS 18+1","Nominated by local housing authority","20.4","328","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Other","ONS 18+1","Nominated by local housing authority","29.3","3336","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Nominated by local housing authority","28.1","1161","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Nominated by local housing authority","27.6","434","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Nominated by local housing authority","29.5","351","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: Other","ONS 18+1","Nominated by local housing authority","28.6","678","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Nominated by local housing authority","24.8","491","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Nominated by local housing authority","27.1","1205","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Nominated by local housing authority","30.9","897","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Nominated by local housing authority","24.2","1158","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Nominated by local housing authority","25.0","1642","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Nominated by local housing authority","24.9","2797","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Nominated by local housing authority","18.1","542","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Nominated by local housing authority","26.6","112","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Nominated by local housing authority","17.7","374","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Nominated by local housing authority","27.4","103","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Nominated by local housing authority","20.8","316","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Referred by local authority housing department","4.5","10556","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Irish","ONS 18+1","Referred by local authority housing department","6.8","110","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Other","ONS 18+1","Referred by local authority housing department","2.4","269","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Referred by local authority housing department","7.1","293","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Referred by local authority housing department","5.3","83","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Referred by local authority housing department","7.9","94","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: Other","ONS 18+1","Referred by local authority housing department","5.3","126","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Referred by local authority housing department","5.1","100","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Referred by local authority housing department","4.8","215","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Referred by local authority housing department","2.2","65","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Referred by local authority housing department","3.9","187","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Referred by local authority housing department","6.0","391","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Referred by local authority housing department","4.6","515","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Referred by local authority housing department","4.1","124","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Referred by local authority housing department","5.9","25","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Referred by local authority housing department","4.5","95","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Referred by local authority housing department","5.6","21","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Referred by local authority housing department","5.9","90","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Voluntary agency","1.2","2767","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Irish","ONS 18+1","Voluntary agency","2.2","35","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Other","ONS 18+1","Voluntary agency","1.1","130","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Voluntary agency","3.0","124","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Voluntary agency","1.7","27","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Voluntary agency","1.4","17","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: Other","ONS 18+1","Voluntary agency","1.5","36","","","","","","","","",""
