"","Hardship","","Homelessness","","Insanitary/Unsatisfactory Housing","","Medical Welfare","","Multiple",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number","%","Number"
"All","14.1","11,673","37.1","30,741","21.5","17,808","25.0","20,724","2.4","1,981"
"Asian","11.7","631","42.0","2,261","30.0","1,613","13.1","704","3.2","175"
"Bangladeshi","6.8","76","33.1","372","48.4","544","9.2","104","2.6","29"
"Chinese","17.4","20","41.7","48","26.1","30","9.6","11","5.2","6"
"Indian","15.5","80","41.9","216","21.5","111","18.8","97","2.3","12"
"Pakistani","12.9","172","47.0","628","23.4","312","14.4","193","2.3","31"
"Asian other","13.9","205","47.1","694","21.8","321","14.0","206","3.3","48"
"Black","12.5","868","40.5","2,808","28.7","1,987","12.5","866","5.9","407"
"Black African","13.0","417","45.8","1,467","26.8","858","10.0","322","4.4","140"
"Black Caribbean","14.8","244","38.9","643","23.9","396","18.1","300","4.3","71"
"Black other","10.6","89","38.4","322","32.8","275","12.5","105","5.6","47"
"Mixed","15.2","439","42.6","1,234","24.1","697","14.6","424","3.5","102"
"Mixed White/Asian","16.1","49","47.7","145","21.4","65","11.5","35","3.3","10"
"Mixed White/Black African","13.9","61","39.4","173","25.3","111","16.4","72","5.0","22"
"Mixed White/Black Caribbean","14.5","166","44.7","513","22.8","262","14.5","166","3.5","40"
"Mixed other","16.3","110","43.7","294","24.1","162","14.4","97","1.5","10"
"White","14.4","9,591","35.9","23,921","19.9","13,262","27.8","18,542","1.9","1,274"
"White British","14.3","8,277","36.2","20,882","19.4","11,212","28.4","16,383","1.6","952"
"White Irish","14.5","60","39.7","164","15.7","65","25.9","107","4.1","17"
"White Gypsy/Traveller","..","..","48.0","47","19.4","19","16.3","16","..",".."
"White other","11.9","346","41.5","1,202","28.9","836","14.2","410","3.5","102"
"Other","12.9","145","46.1","518","22.1","248","16.7","187","2.1","24"
"Arab","..","..","48.8","202","23.9","99","15.0","62","..",".."
"Any other","14.0","73","44.8","233","19.4","101","18.7","97","3.1","16"
