"","Black African","Black Caribbean","Black other","Black"
"Age Bracket","%","%","%","%"
"Age 0 to 4","11.0","5.0","13.8","9.5"
"Age 10 to 14","8.2","5.9","10.3","7.8"
"Age 15 to 17","5.0","4.0","5.5","4.7"
"Age 18 to 24","11.4","9.4","10.1","10.6"
"Age 25 to 29","8.8","6.5","7.6","7.9"
"Age 30 to 34","10.4","6.1","6.9","8.5"
"Age 35 to 39","9.7","6.5","6.4","8.2"
"Age 40 to 44","9.1","9.6","8.4","9.1"
"Age 45 to 49","6.7","11.6","8.5","8.5"
"Age 5 to 9","9.2","5.2","12.1","8.4"
"Age 50 to 54","4.3","8.3","4.3","5.6"
"Age 55 to 59","2.3","4.9","1.9","3.1"
"Age 60 to 64","1.4","3.0","1.1","1.9"
"Age 65 to 69","0.9","3.4","1.0","1.7"
"Age 70 to 74","0.8","4.2","0.9","1.9"
"Age 75 to 79","0.4","3.4","0.7","1.4"
"Age 80 to 84","0.2","1.9","0.3","0.8"
"Age 85 and over","0.1","1.0","0.2","0.4"
