"","Bangladeshi","Chinese","Indian","Pakistani","Asian other","Asian"
"Age group","%","%","%","%","%","%"
"Age 0 to 4","11.4","4.7","7.0","11.5","8.0","8.7"
"Age 5 to 9","11.4","3.3","5.8","10.7","6.9","7.7"
"Age 10 to 14","10.1","3.8","5.3","9.0","6.5","6.9"
"Age 15 to 17","5.4","3.9","3.3","5.0","4.0","4.2"
"Age 18 to 24","13.1","25.2","11.0","12.0","11.4","12.9"
"Age 25 to 29","10.5","12.2","11.2","10.3","9.7","10.7"
"Age 30 to 34","10.1","9.8","11.2","10.2","11.0","10.7"
"Age 35 to 39","8.6","7.7","8.9","7.8","11.5","9.0"
"Age 40 to 44","5.8","6.3","7.2","6.4","8.7","7.1"
"Age 45 to 49","3.6","5.8","6.1","3.9","6.2","5.2"
"Age 50 to 54","2.9","5.1","5.9","3.7","4.8","4.7"
"Age 55 to 59","2.3","4.2","5.2","3.1","3.7","4.0"
"Age 60 to 64","1.2","3.0","3.8","1.8","2.9","2.8"
"Age 65 to 69","1.0","1.6","2.6","1.3","1.8","1.8"
"Age 70 to 74","1.4","1.4","2.4","1.4","1.3","1.7"
"Age 75 to 79","0.8","1.0","1.7","1.0","0.8","1.2"
"Age 80 to 84","0.4","0.6","0.9","0.5","0.4","0.6"
"Age 85 and over","0.1","0.4","0.6","0.2","0.3","0.4"
