"Measure","Ethnic group","Year","Household type","Value","value_label","Source","Geography","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Single pensioner","13.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Single pensioner","13.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Single pensioner","19.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Single pensioner","6.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Single pensioner","4.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Single non-pensioner","17.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Single non-pensioner","17.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Single non-pensioner","20.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Single non-pensioner","23.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Single non-pensioner","19.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Pensioner couple","8.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Pensioner couple","9.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Pensioner couple","9.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Pensioner couple","2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Pensioner couple","2.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Married, no children","13","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Married, no children","13.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Married, no children","9.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Married, no children","6.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Married, no children","10.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Married, Dependent children","14.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Married, Dependent children","14.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Married, Dependent children","10.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Married, Dependent children","12.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Married, Dependent children","18.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Married, non-dependent children","5.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Married, non-dependent children","5.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Married, non-dependent children","5.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Married, non-dependent children","3.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Married, non-dependent children","2.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Cohab, no children","5.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Cohab, no children","5.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Cohab, no children","4.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Cohab, no children","3.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Cohab, no children","8.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Cohab, Dependent children","4.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Cohab, Dependent children","4.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Irish","2011","Cohab, Dependent children","2.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Gypsy or Irish Traveller","2011","Cohab, Dependent children","6.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - Other","2011","Cohab, Dependent children","4.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White","2011","Cohab, non-dependent children","0.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","White - British","2011","Cohab, non-dependent children","0.5","Row%","Census","England and Wales","","","","","","","","","",""
