"Ethnicity","%"
"Asian","8.9"
"Bangladeshi","1.1"
"Chinese","0.6"
"Indian","2.9"
"Pakistani","2.6"
"Asian other","1.8"
"Black","4.8"
"Black African","2.7"
"Black Caribbean","1.5"
"Black other","0.6"
"Mixed","1.6"
"Mixed White/Asian","0.4"
"Mixed White/Black African","0.2"
"Mixed White/Black Caribbean","0.7"
"Mixed other","0.4"
"White","83.5"
"White British","77.6"
"White Irish","0.8"
"White Gypsy or Irish Traveller","0.1"
"White other","4.9"
"Other","1.2"
"Arab","0.5"
"Any other","0.7"
