"","Africa","Antarctica and Oceania (including Australasia)","Asia and Middle East","EU countries at 2001 Census","EU countries that joined between 2001 and 2011","Rest of Europe","Ireland","The Americas and the Caribbean"
"","%","%","%","%","%","%","%","%"
"All","2.3","0.3","4.6","1.6","2.0","0.5","0.7","1.2"
"Asian","5.3","0.2","50.3","0.8","0.4","0.3","0.1","0.6"
"Bangladeshi","0.3","0.0","46.8","0.4","0.2","0.1","0.1","0.1"
"Chinese","1.1","0.6","71.3","0.9","0.6","0.2","0.2","1.2"
"Indian","11.9","0.2","43.7","0.4","0.2","0.1","0.1","0.5"
"Pakistani","0.7","0.0","41.9","0.7","0.2","0.1","0.1","0.1"
"Asian other","5.1","0.3","65.1","1.8","0.8","0.9","0.2","1.1"
"Black","35.4","0.1","0.8","2.3","0.5","0.2","0.3","13.5"
"Black African","61.4","0.1","1.0","3.0","0.6","0.3","0.3","0.8"
"Black Caribbean","0.5","0.0","0.3","0.6","0.2","0.1","0.3","37.9"
"Black other","17.8","0.6","1.2","3.8","0.7","0.4","0.3","6.9"
"Mixed","4.5","0.5","5.0","2.6","1.3","1.0","0.3","4.2"
"Mixed White/Asian","1.3","0.5","12.4","2.1","1.0","1.7","0.3","1.6"
"Mixed White/Black African","20.2","0.2","1.0","6.3","1.3","0.5","0.4","1.9"
"Mixed White/Black Caribbean","0.3","0.1","0.2","0.8","0.2","0.1","0.2","4.1"
"Mixed other","5.7","1.4","5.7","3.8","3.2","1.6","0.6","9.0"
"White","0.6","0.3","0.4","1.6","2.2","0.5","0.8","0.6"
"White British","0.4","0.2","0.3","0.6","0.2","0.1","0.1","0.2"
"White Irish","0.8","0.4","0.5","0.9","0.6","0.2","62.1","1.1"
"White Gypsy/Traveller","0.2","0.2","0.2","0.9","7.0","0.4","3.0","0.3"
"White other","4.4","3.5","2.3","21.4","38.3","7.6","0.4","7.5"
"Other","14.8","0.9","35.2","3.4","4.0","4.3","0.4","7.2"
"Arab","22.0","0.3","42.3","3.6","1.5","0.7","0.4","1.6"
"Any other","9.9","1.3","30.2","3.3","5.7","6.8","0.4","11.0"
