"Ethnicity","Education, training and skills %","Health deprivation and disability %","Crime %","Barriers to housing & services %","Living Environment %"
"All","9.8","9.8","10.0","10.6","10.3"
"Asian","13.5","9.6","14.7","18.4","16.8"
"Bangladeshi","15.4","10.6","19.6","21.5","16.0"
"Chinese","6.1","10.7","14.5","14.1","17.0"
"Indian","7.2","5.5","9.6","19.4","10.9"
"Pakistani","27.4","16.0","21.2","14.7","28.2"
"Asian other","7.8","7.0","12.2","22.0","11.6"
"Black","8.9","9.6","16.3","31.2","12.7"
"Black African","9.5","10.6","17.9","32.3","11.7"
"Black Caribbean","7.8","7.8","13.6","29.2","14.0"
"Black other","9.2","9.7","16.4","31.6","13.7"
"Mixed","10.7","10.8","13.6","15.6","12.3"
"Mixed White/Asian","8.7","8.5","11.8","12.7","12.5"
"Mixed White/Black African","10.4","12.0","15.5","19.5","12.2"
"Mixed White/Black Caribbean","14.2","13.8","15.1","14.8","12.2"
"Mixed other","7.9","8.4","12.5","17.8","12.5"
"White","9.5","9.7","9.1","8.7","9.5"
"White British","9.7","9.9","8.9","8.2","9.2"
"White Irish","6.0","8.0","10.6","12.9","11.6"
"White Gypsy/Traveller","13.7","10.1","13.0","16.4","10.6"
"White other","7.7","7.1","12.7","17.5","13.9"
"Other","8.5","9.9","15.5","23.4","14.7"
"Arab","9.4","12.3","17.1","21.9","17.2"
"Any other","7.9","8.2","14.4","24.4","13.1"
