"Year","Ethnicity","Very or fairly satisfied	(%)","Very or fairly dissatisfied (%)"
"2015/16","Asian","85","14"
"2015/16","Black","83","15"
"2015/16","Mixed","82","16"
"2015/16","White","",""
"2015/16","White British","85","14"
"2015/16","White other","79","18"
"2015/16","Other","74","21"
"2015/16","Unknown","14","27"
"2016/17","Asian","86","13"
"2016/17","Black","85","13"
"2016/17","Mixed","82","17"
"2016/17","White","",""
"2016/17","White British","87","12"
"2016/17","White other","86","13"
"2016/17","Other","81","17"
"2016/17","Unknown","N/A","N/A"
