"Duration","Ethnicity","%"
"13 weeks or less","All","26.9"
"13 weeks or less","Asian","26.1"
"13 weeks or less","Black","23.0"
"13 weeks or less","Mixed","27.5"
"13 weeks or less","White British","27.4"
"13 weeks or less","White other","34.0"
"13 weeks or less","Other","22.9"
"13 weeks or less","Unknown","24.2"
"over 104 weeks","All","22.2"
"over 104 weeks","Asian","16.9"
"over 104 weeks","Black","22.5"
"over 104 weeks","Mixed","17.3"
"over 104 weeks","White British","23.3"
"over 104 weeks","White other","14.9"
"over 104 weeks","Other","14.5"
"over 104 weeks","Unknown","30.1"
"over 13 and up to 26 weeks","All","17.4"
"over 13 and up to 26 weeks","Asian","18.7"
"over 13 and up to 26 weeks","Black","16.9"
"over 13 and up to 26 weeks","Mixed","18.7"
"over 13 and up to 26 weeks","White British","17.2"
"over 13 and up to 26 weeks","White other","19.6"
"over 13 and up to 26 weeks","Other","17.4"
"over 13 and up to 26 weeks","Unknown","14.6"
"over 26 and up to 52 weeks","All","17.6"
"over 26 and up to 52 weeks","Asian","20.4"
"over 26 and up to 52 weeks","Black","19.7"
"over 26 and up to 52 weeks","Mixed","19.4"
"over 26 and up to 52 weeks","White British","16.8"
"over 26 and up to 52 weeks","White other","18.2"
"over 26 and up to 52 weeks","Other","23.5"
"over 26 and up to 52 weeks","Unknown","16.2"
"over 52 and up to 78 weeks","All","9.6"
"over 52 and up to 78 weeks","Asian","10.9"
"over 52 and up to 78 weeks","Black","10.7"
"over 52 and up to 78 weeks","Mixed","10.4"
"over 52 and up to 78 weeks","White British","9.2"
"over 52 and up to 78 weeks","White other","8.0"
"over 52 and up to 78 weeks","Other","13.2"
"over 52 and up to 78 weeks","Unknown","8.8"
"over 78 and up to 104 weeks","All","6.3"
"over 78 and up to 104 weeks","Asian","7.0"
"over 78 and up to 104 weeks","Black","7.2"
"over 78 and up to 104 weeks","Mixed","6.7"
"over 78 and up to 104 weeks","White British","6.1"
"over 78 and up to 104 weeks","White other","5.3"
"over 78 and up to 104 weeks","Other","8.4"
"over 78 and up to 104 weeks","Unknown","6.0"
