"Benefit","Ethnicity","%"
"Council Tax Reduction  ","All","13"
"Council Tax Reduction  ","Asian","12"
"Council Tax Reduction  ","Bangladeshi","25"
"Council Tax Reduction  ","Chinese","8"
"Council Tax Reduction  ","Indian","7"
"Council Tax Reduction  ","Pakistani","15"
"Council Tax Reduction  ","Asian other","11"
"Council Tax Reduction  ","Black","21"
"Council Tax Reduction  ","Mixed","16"
"Council Tax Reduction  ","White British","13"
"Council Tax Reduction  ","White other","9"
"Council Tax Reduction  ","Other","18"
"Housing Benefit  ","All","12"
"Housing Benefit  ","Asian","10"
"Housing Benefit  ","Bangladeshi","24"
"Housing Benefit  ","Chinese","5"
"Housing Benefit  ","Indian","6"
"Housing Benefit  ","Pakistani","13"
"Housing Benefit  ","Asian other","13"
"Housing Benefit  ","Black","24"
"Housing Benefit  ","Mixed","17"
"Housing Benefit  ","White British","12"
"Housing Benefit  ","White other","10"
"Housing Benefit  ","Other","20"
"Income Support  ","All","2"
"Income Support  ","Asian","3"
"Income Support  ","Bangladeshi","7"
"Income Support  ","Chinese","1"
"Income Support  ","Indian","1"
"Income Support  ","Pakistani","4"
"Income Support  ","Asian other","1"
"Income Support  ","Black","5"
"Income Support  ","Mixed","4"
"Income Support  ","White British","2"
"Income Support  ","White other","1"
"Income Support  ","Other","4"
"Pension Credit  ","All","4"
"Pension Credit  ","Asian","3"
"Pension Credit  ","Bangladeshi","2"
"Pension Credit  ","Chinese","2"
"Pension Credit  ","Indian","3"
"Pension Credit  ","Pakistani","3"
"Pension Credit  ","Asian other","2"
"Pension Credit  ","Black","3"
"Pension Credit  ","Mixed","2"
"Pension Credit  ","White British","4"
"Pension Credit  ","White other","2"
"Pension Credit  ","Other","2"
