"Time","Ethnicity","%"
"2009/10-2011/12","All","62"
"2009/10-2011/12","Asian","49"
"2009/10-2011/12","Bangladeshi","53"
"2009/10-2011/12","Chinese","29"
"2009/10-2011/12","Indian","48"
"2009/10-2011/12","Pakistani","56"
"2009/10-2011/12","Asian other","48"
"2009/10-2011/12","Black","58"
"2009/10-2011/12","Mixed","49"
"2009/10-2011/12","White","63"
"2009/10-2011/12","White British","64"
"2009/10-2011/12","White other","48"
"2009/10-2011/12","Other","55"
"2010/11-2012/13","All","61"
"2010/11-2012/13","Asian","50"
"2010/11-2012/13","Bangladeshi","52"
"2010/11-2012/13","Chinese","29"
"2010/11-2012/13","Indian","48"
"2010/11-2012/13","Pakistani","59"
"2010/11-2012/13","Asian other","51"
"2010/11-2012/13","Black","60"
"2010/11-2012/13","Mixed","47"
"2010/11-2012/13","White","62"
"2010/11-2012/13","White British","63"
"2010/11-2012/13","White other","47"
"2010/11-2012/13","Other","53"
"2011/12-2013/14","All","60"
"2011/12-2013/14","Asian","50"
"2011/12-2013/14","Bangladeshi","59"
"2011/12-2013/14","Chinese","31"
"2011/12-2013/14","Indian","48"
"2011/12-2013/14","Pakistani","57"
"2011/12-2013/14","Asian other","49"
"2011/12-2013/14","Black","59"
"2011/12-2013/14","Mixed","46"
"2011/12-2013/14","White","61"
"2011/12-2013/14","White British","62"
"2011/12-2013/14","White other","46"
"2011/12-2013/14","Other","52"
"2012/13-2014/15","All","58"
"2012/13-2014/15","Asian","49"
"2012/13-2014/15","Bangladeshi","55"
"2012/13-2014/15","Chinese","30"
"2012/13-2014/15","Indian","47"
"2012/13-2014/15","Pakistani","57"
"2012/13-2014/15","Asian other","49"
"2012/13-2014/15","Black","58"
"2012/13-2014/15","Mixed","44"
"2012/13-2014/15","White","59"
"2012/13-2014/15","White British","60"
"2012/13-2014/15","White other","45"
"2012/13-2014/15","Other","49"
"2013/14-2015/16","All","57"
"2013/14-2015/16","Asian","48"
"2013/14-2015/16","Bangladeshi","56"
"2013/14-2015/16","Chinese","30"
"2013/14-2015/16","Indian","46"
"2013/14-2015/16","Pakistani","53"
"2013/14-2015/16","Asian other","44"
"2013/14-2015/16","Black","54"
"2013/14-2015/16","Mixed","45"
"2013/14-2015/16","White","58"
"2013/14-2015/16","White British","59"
"2013/14-2015/16","White other","42"
"2013/14-2015/16","Other","49"
"2014/15-2016/17","All","56"
"2014/15-2016/17","Asian","47"
"2014/15-2016/17","Bangladeshi","56"
"2014/15-2016/17","Chinese","32"
"2014/15-2016/17","Indian","45"
"2014/15-2016/17","Pakistani","53"
"2014/15-2016/17","Asian other","45"
"2014/15-2016/17","Black","55"
"2014/15-2016/17","Mixed","44"
"2014/15-2016/17","White","57"
"2014/15-2016/17","White British","58"
"2014/15-2016/17","White other","39"
"2014/15-2016/17","Other","44"
"2015/16-2017/18","All","55"
"2015/16-2017/18","Asian","46"
"2015/16-2017/18","Bangladeshi","54"
"2015/16-2017/18","Chinese","33"
"2015/16-2017/18","Indian","43"
"2015/16-2017/18","Pakistani","52"
"2015/16-2017/18","Asian other","47"
"2015/16-2017/18","Black","53"
"2015/16-2017/18","Mixed","45"
"2015/16-2017/18","White","56"
"2015/16-2017/18","White British","57"
"2015/16-2017/18","White other","37"
"2015/16-2017/18","Other","42"
