"","Any state support","Any tax credits","Any income-related benefit","Any non-income-related benefit"
"Ethnicity","%","%","%","%"
"All","52","7","16","49"
"Asian","43","13","14","40"
"Bangladeshi","49","23","26","45"
"Chinese","26","5","9","22"
"Indian","39","6","9","37"
"Pakistani","51","22","18","47"
"Asian other","43","12","17","37"
"Black","49","14","23","44"
"Mixed","39","9","20","34"
"White","53","6","16","50"
"White British","54","6","16","51"
"White other","35","8","10","33"
"Other","40","12","19","36"
