"Benefit","Ethnicity","%"
"Child Tax Credit","All","5"
"Child Tax Credit","Asian","10"
"Child Tax Credit","Bangladeshi","17"
"Child Tax Credit","Chinese","4"
"Child Tax Credit","Indian","6"
"Child Tax Credit","Pakistani","16"
"Child Tax Credit","Asian other","9"
"Child Tax Credit","Black","11"
"Child Tax Credit","Mixed","10"
"Child Tax Credit","White","5"
"Child Tax Credit","White British","5"
"Child Tax Credit","White other","6"
"Child Tax Credit","Other","8"
"Working Tax Credit","All","3"
"Working Tax Credit","Asian","7"
"Working Tax Credit","Bangladeshi","12"
"Working Tax Credit","Chinese","2"
"Working Tax Credit","Indian","4"
"Working Tax Credit","Pakistani","10"
"Working Tax Credit","Asian other","6"
"Working Tax Credit","Black","7"
"Working Tax Credit","Mixed","6"
"Working Tax Credit","White","2"
"Working Tax Credit","White British","2"
"Working Tax Credit","White other","3"
"Working Tax Credit","Other","5"
