"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value-type","Denominator"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","61","%","83572"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","62","%","76709"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","63","%","73459"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","46","%","3250"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","48","%","714"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","48","%","3652"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","47","%","1548"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","54","%","915"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","52","%","345"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","29","%","310"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","48","%","534"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","58","%","1761"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","54","%","736"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","62","%","83572"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","White","ONS 5+2","K02000001","63","%","76709"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","White British","ONS 5+2","K02000001","64","%","73459"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","White other","ONS 5+2","K02000001","48","%","3250"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Mixed","ONS 5+2","K02000001","49","%","714"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Asian","ONS 5+2","K02000001","49","%","3652"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","48","%","1548"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","56","%","915"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","53","%","345"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","29","%","310"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Asian other","ONS 5+2","K02000001","48","%","534"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Black","ONS 5+2","K02000001","58","%","1761"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Other","ONS 5+2","K02000001","55","%","736"
