"Measure","Ethnicity","%"
"Council Tax Reduction","All","12"
"Council Tax Reduction","Asian","11"
"Council Tax Reduction","Bangladeshi","21"
"Council Tax Reduction","Chinese","9"
"Council Tax Reduction","Indian","6"
"Council Tax Reduction","Pakistani","13"
"Council Tax Reduction","Asian other","12"
"Council Tax Reduction","Black","20"
"Council Tax Reduction","Mixed","14"
"Council Tax Reduction","White","12"
"Council Tax Reduction","White British","12"
"Council Tax Reduction","White other","7"
"Council Tax Reduction","Other","13"
"Housing Benefit","All","11"
"Housing Benefit","Asian","10"
"Housing Benefit","Bangladeshi","23"
"Housing Benefit","Chinese","6"
"Housing Benefit","Indian","4"
"Housing Benefit","Pakistani","11"
"Housing Benefit","Asian other","14"
"Housing Benefit","Black","22"
"Housing Benefit","Mixed","15"
"Housing Benefit","White","11"
"Housing Benefit","White British","11"
"Housing Benefit","White other","8"
"Housing Benefit","Other","15"
"Income Support","All","2"
"Income Support","Asian","2"
"Income Support","Bangladeshi","4"
"Income Support","Chinese","!"
"Income Support","Indian","1"
"Income Support","Pakistani","3"
"Income Support","Asian other","1"
"Income Support","Black","3"
"Income Support","Mixed","4"
"Income Support","White","2"
"Income Support","White British","2"
"Income Support","White other","1"
"Income Support","Other","2"
"Pension Credit","All","3"
"Pension Credit","Asian","2"
"Pension Credit","Bangladeshi","2"
"Pension Credit","Chinese","2"
"Pension Credit","Indian","3"
"Pension Credit","Pakistani","2"
"Pension Credit","Asian other","1"
"Pension Credit","Black","2"
"Pension Credit","Mixed","1"
"Pension Credit","White","4"
"Pension Credit","White British","4"
"Pension Credit","White other","2"
"Pension Credit","Other","1"
