"Benefit","Ethnicity","%"
"Any income-related benefit","All","19"
"Any income-related benefit","Asian","17"
"Any income-related benefit","Bangladeshi","34"
"Any income-related benefit","Chinese","10"
"Any income-related benefit","Indian","10"
"Any income-related benefit","Pakistani","24"
"Any income-related benefit","Asian other","17"
"Any income-related benefit","Black","30"
"Any income-related benefit","Mixed","22"
"Any income-related benefit","White British","19"
"Any income-related benefit","White other","13"
"Any income-related benefit","Other","24"
"Any non-income related benefit","All","52"
"Any non-income related benefit","Asian","43"
"Any non-income related benefit","Bangladeshi","50"
"Any non-income related benefit","Chinese","28"
"Any non-income related benefit","Indian","43"
"Any non-income related benefit","Pakistani","46"
"Any non-income related benefit","Asian other","40"
"Any non-income related benefit","Black","46"
"Any non-income related benefit","Mixed","38"
"Any non-income related benefit","White British","54"
"Any non-income related benefit","White other","36"
"Any non-income related benefit","Other","38"
"Any type of state support","All","56"
"Any type of state support","Asian","47"
"Any type of state support","Bangladeshi","56"
"Any type of state support","Chinese","32"
"Any type of state support","Indian","45"
"Any type of state support","Pakistani","53"
"Any type of state support","Asian other","45"
"Any type of state support","Black","55"
"Any type of state support","Mixed","44"
"Any type of state support","White British","58"
"Any type of state support","White other","39"
"Any type of state support","Other","44"
"Any type of tax credit","All","10"
"Any type of tax credit","Asian","16"
"Any type of tax credit","Bangladeshi","30"
"Any type of tax credit","Chinese","6"
"Any type of tax credit","Indian","9"
"Any type of tax credit","Pakistani","24"
"Any type of tax credit","Asian other","15"
"Any type of tax credit","Black","18"
"Any type of tax credit","Mixed","16"
"Any type of tax credit","White British","9"
"Any type of tax credit","White other","11"
"Any type of tax credit","Other","14"
