"Measure","Ethnicity","%"
"Child Tax Credit","All","8"
"Child Tax Credit","Asian","14"
"Child Tax Credit","Bangladeshi","24"
"Child Tax Credit","Chinese","5"
"Child Tax Credit","Indian","7"
"Child Tax Credit","Pakistani","22"
"Child Tax Credit","Asian other","14"
"Child Tax Credit","Black","16"
"Child Tax Credit","Mixed","13"
"Child Tax Credit","White","7"
"Child Tax Credit","White British","7"
"Child Tax Credit","White other","9"
"Child Tax Credit","Other","13"
"Working Tax Credit","All","4"
"Working Tax Credit","Asian","9"
"Working Tax Credit","Bangladeshi","15"
"Working Tax Credit","Chinese","3"
"Working Tax Credit","Indian","4"
"Working Tax Credit","Pakistani","14"
"Working Tax Credit","Asian other","9"
"Working Tax Credit","Black","9"
"Working Tax Credit","Mixed","5"
"Working Tax Credit","White","4"
"Working Tax Credit","White British","4"
"Working Tax Credit","White other","5"
"Working Tax Credit","Other","8"
