"","Child Benefit ","Disability Living Allowance (care component) ","Disability Living Allowance (mobility component) ","State Pension "
"","%","%","%","%"
"All","20","6","5","25"
"Asian","27","4","3","9"
"Bangladeshi","36","7","4","9"
"Chinese","17","-","-","8"
"Indian","24","4","3","12"
"Pakistani","33","5","4","6"
"Asian other","27","2","1","9"
"Black","30","5","4","11"
"Mixed","25","3","3","8"
"White British","18","6","6","28"
"White other","22","2","2","9"
"Other","24","3","1","7"
