"Measure","Time","Time_type","Ethnicity ","Ethnicity_type","Value","Value_type","Denominator"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","62","%","83,572"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","61","%","83,572"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","15","%","83,572"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","21","%","83,572"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","57","%","83,572"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","23","%","83,572"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","6","%","83,572"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","14","%","83,572"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","4","%","83,572"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","13","%","83,572"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","5","%","83,572"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","16","%","83,572"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","4","%","83,572"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","1","%","83,572"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","25","%","83,572"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","-","%","83,572"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","3","%","83,572"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","-","%","83,572"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","3","%","83,572"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","1","%","83,572"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","7","%","83,572"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","6","%","83,572"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","0","%","83,572"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","0","%","83,572"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","1","%","83,572"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","-","%","83,572"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","63","%","76,711"
