"Measure","Time","Time_type","Ethnicity","Occupation","Occupation_Type","Value","Value_type","Denominator","Numerator","CI","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","Managers, Directors And Senior Officials","SOC 2010","14.9","%","27507700","4101900","0.37","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","Professional Occupations","SOC 2010","12.4","%","27507700","3419400","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","Associate Professional And Technical Occupations","SOC 2010","14.0","%","27507700","3847100","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","Administrative And Secretarial Occupations","SOC 2010","12.7","%","27507700","3486000","0.37","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","Skilled Trades Occupations","SOC 2010","11.3","%","27507700","3115200","0.37","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","Caring, Leisure And Other Service Occupations","SOC 2010","7.7","%","27507700","2114800","0.37","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","Sales And Customer Service Occupations","SOC 2010","7.8","%","27507700","2132300","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","Process, Plant And Machine Operatives","SOC 2010","7.6","%","27507700","2094000","0.37","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","Elementary Occupations","SOC 2010","11.6","%","27507700","3197000","0.37","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","Managers, Directors And Senior Officials","SOC 2010","14.9","%","1102100","164500","3.63","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","Professional Occupations","SOC 2010","15.9","%","1102100","175100","3.61","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","Associate Professional And Technical Occupations","SOC 2010","11.6","%","1102100","128300","3.70","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","Administrative And Secretarial Occupations","SOC 2010","11.4","%","1102100","125100","3.88","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","Skilled Trades Occupations","SOC 2010","6.9","%","1102100","75800","3.79","","","","","","",""
