"Ethnicity","Occupation","%"
"All","Managers, Directors And Senior Officials","10.3"
"All","Professional Occupations","25.7"
"All","Associate Professional And Technical Occupations","14.6"
"All","Administrative And Secretarial Occupations","10.6"
"All","Skilled Trades Occupations","8.9"
"All","Caring, Leisure And Other Service Occupations","8.1"
"All","Sales And Customer Service Occupations","6.8"
"All","Process, Plant And Machine Operatives","5.6"
"All","Elementary Occupations","9.4"
"Asian","Managers, Directors And Senior Officials","9.0"
"Asian","Professional Occupations","33.0"
"Asian","Associate Professional And Technical Occupations","12.2"
"Asian","Administrative And Secretarial Occupations","10.3"
"Asian","Skilled Trades Occupations","5.3"
"Asian","Caring, Leisure And Other Service Occupations","7.0"
"Asian","Sales And Customer Service Occupations","7.8"
"Asian","Process, Plant And Machine Operatives","6.4"
"Asian","Elementary Occupations","9.2"
"Indian","Managers, Directors And Senior Officials","10.6"
"Indian","Professional Occupations","39.8"
"Indian","Associate Professional And Technical Occupations","12.9"
"Indian","Administrative And Secretarial Occupations","9.7"
"Indian","Skilled Trades Occupations","3.9"
"Indian","Caring, Leisure And Other Service Occupations","6.0"
"Indian","Sales And Customer Service Occupations","5.8"
"Indian","Process, Plant And Machine Operatives","4.5"
"Indian","Elementary Occupations","6.7"
"Pakistani, Bangladeshi","Managers, Directors And Senior Officials","8.1"
"Pakistani, Bangladeshi","Professional Occupations","21.9"
"Pakistani, Bangladeshi","Associate Professional And Technical Occupations","11.9"
"Pakistani, Bangladeshi","Administrative And Secretarial Occupations","12.7"
"Pakistani, Bangladeshi","Skilled Trades Occupations","6.1"
"Pakistani, Bangladeshi","Caring, Leisure And Other Service Occupations","5.4"
"Pakistani, Bangladeshi","Sales And Customer Service Occupations","11.5"
"Pakistani, Bangladeshi","Process, Plant And Machine Operatives","10.7"
"Pakistani, Bangladeshi","Elementary Occupations","11.7"
"Other Asian","Managers, Directors And Senior Officials","7.2"
"Other Asian","Professional Occupations","33.9"
"Other Asian","Associate Professional And Technical Occupations","11.3"
"Other Asian","Administrative And Secretarial Occupations","8.5"
"Other Asian","Skilled Trades Occupations","6.7"
"Other Asian","Caring, Leisure And Other Service Occupations","10.3"
"Other Asian","Sales And Customer Service Occupations","6.8"
"Other Asian","Process, Plant And Machine Operatives","5.0"
"Other Asian","Elementary Occupations","10.4"
"Black","Managers, Directors And Senior Officials","4.6"
"Black","Professional Occupations","24.7"
"Black","Associate Professional And Technical Occupations","13.9"
"Black","Administrative And Secretarial Occupations","9.7"
"Black","Skilled Trades Occupations","4.3"
"Black","Caring, Leisure And Other Service Occupations","18.5"
"Black","Sales And Customer Service Occupations","5.6"
"Black","Process, Plant And Machine Operatives","5.5"
"Black","Elementary Occupations","13.2"
"Mixed","Managers, Directors And Senior Officials","11.1"
"Mixed","Professional Occupations","26.9"
"Mixed","Associate Professional And Technical Occupations","15.4"
"Mixed","Administrative And Secretarial Occupations","11.1"
"Mixed","Skilled Trades Occupations","6.3"
"Mixed","Caring, Leisure And Other Service Occupations","6.4"
"Mixed","Sales And Customer Service Occupations","9.5"
"Mixed","Process, Plant And Machine Operatives","3.6"
"Mixed","Elementary Occupations","9.6"
"White","Managers, Directors And Senior Officials","10.7"
"White","Professional Occupations","25.0"
"White","Associate Professional And Technical Occupations","15.0"
"White","Administrative And Secretarial Occupations","10.6"
"White","Skilled Trades Occupations","9.4"
"White","Caring, Leisure And Other Service Occupations","7.7"
"White","Sales And Customer Service Occupations","6.7"
"White","Process, Plant And Machine Operatives","5.6"
"White","Elementary Occupations","9.3"
"White British","Managers, Directors And Senior Officials","10.7"
"White British","Professional Occupations","24.7"
"White British","Associate Professional And Technical Occupations","15.1"
"White British","Administrative And Secretarial Occupations","10.8"
"White British","Skilled Trades Occupations","9.5"
"White British","Caring, Leisure And Other Service Occupations","7.9"
"White British","Sales And Customer Service Occupations","6.9"
"White British","Process, Plant And Machine Operatives","5.4"
"White British","Elementary Occupations","9.0"
"White Irish","Managers, Directors And Senior Officials","13.5"
"White Irish","Professional Occupations","35.0"
"White Irish","Associate Professional And Technical Occupations","15.2"
"White Irish","Administrative And Secretarial Occupations","8.1"
"White Irish","Skilled Trades Occupations","6.8"
"White Irish","Caring, Leisure And Other Service Occupations","7.3"
"White Irish","Sales And Customer Service Occupations","3.6"
"White Irish","Process, Plant And Machine Operatives","3.6"
"White Irish","Elementary Occupations","7.1"
"White Other","Managers, Directors And Senior Officials","10.8"
"White Other","Professional Occupations","27.4"
"White Other","Associate Professional And Technical Occupations","13.4"
"White Other","Administrative And Secretarial Occupations","9.1"
"White Other","Skilled Trades Occupations","8.7"
"White Other","Caring, Leisure And Other Service Occupations","6.0"
"White Other","Sales And Customer Service Occupations","4.6"
"White Other","Process, Plant And Machine Operatives","7.4"
"White Other","Elementary Occupations","12.4"
"Other","Managers, Directors And Senior Officials","8.8"
"Other","Professional Occupations","31.3"
"Other","Associate Professional And Technical Occupations","10.1"
"Other","Administrative And Secretarial Occupations","9.0"
"Other","Skilled Trades Occupations","4.7"
"Other","Caring, Leisure And Other Service Occupations","12.3"
"Other","Sales And Customer Service Occupations","6.4"
"Other","Process, Plant And Machine Operatives","5.4"
"Other","Elementary Occupations","12.0"
