"Ethnicity","Highest qualification held","Value"
"All","All","78%"
"All","Level 4 and above","87%"
"All","Level 3","82%"
"All","Level 2","75%"
"All","Below Level 2","70%"
"All","Other qualifications","76%"
"All","No qualifications","48%"
"Asian","All","71%"
"Asian","Level 4 and above","84%"
"Asian","Level 3","73%"
"Asian","Level 2","60%"
"Asian","Below Level 2","58%"
"Asian","Other qualifications","65%"
"Asian","No qualifications","42%"
"Black","All","73%"
"Black","Level 4 and above","84%"
"Black","Level 3","74%"
"Black","Level 2","63%"
"Black","Below Level 2","62%"
"Black","Other qualifications","71%"
"Black","No qualifications","51%"
"Mixed","All","73%"
"Mixed","Level 4 and above","86%"
"Mixed","Level 3","71%"
"Mixed","Level 2","61%"
"Mixed","Below Level 2","61%"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","36%"
"White","All","79%"
"White","Level 4 and above","87%"
"White","Level 3","83%"
"White","Level 2","76%"
"White","Below Level 2","72%"
"White","Other qualifications","79%"
"White","No qualifications","49%"
"Other","All","69%"
"Other","Level 4 and above","78%"
"Other","Level 3","63%"
"Other","Level 2","66%"
"Other","Below Level 2","57%"
"Other","Other qualifications","66%"
"Other","No qualifications","45%"
