"Measure","Time","Time_type","Ethnicity","Industry","SIC","Value","Value_type","Denominator","Numerator","CI"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","A-B: Agriculture & fishing","SIC 92","1.2","%","27483000","329300","0.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","C,E: Energy & water","SIC 92","1","%","27483000","265500","0.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","D: Manufacturing","SIC 92","14","%","27483000","3837900","0.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","F: Construction","SIC 92","7.7","%","27483000","2127400","0.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","G-H: Distribution, hotels & restaurants","SIC 92","19.6","%","27483000","5378200","0.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","I: Transport & communication","SIC 92","6.9","%","27483000","1908200","0.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","J-K: Banking, finance & insurance etc","SIC 92","15.8","%","27483000","4344900","0.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","L-N: Public admin, education & health","SIC 92","27.7","%","27483000","7606500","0.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","O-Q: Other services","SIC 92","6.1","%","27483000","1678400","0.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","All","Workplace outside UK","SIC 92","0","%","27483000","6500","0.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","A-B: Agriculture & fishing","SIC 92","0.1","%","1102300","1000","3.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","C,E: Energy & water","SIC 92","0.9","%","1102300","10000","4.1"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","D: Manufacturing","SIC 92","11.7","%","1102300","129300","3.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","F: Construction","SIC 92","2.4","%","1102300","26100","4.1"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","G-H: Distribution, hotels & restaurants","SIC 92","31.4","%","1102300","346300","3.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","I: Transport & communication","SIC 92","9.7","%","1102300","106600","3.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","J-K: Banking, finance & insurance etc","SIC 92","16.8","%","1102300","185400","3.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","L-N: Public admin, education & health","SIC 92","23.8","%","1102300","262700","3.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","O-Q: Other services","SIC 92","3.1","%","1102300","34600","4.1"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Asian","Workplace outside UK","SIC 92","-","%","1102300","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","A-B: Agriculture & fishing","SIC 92","0.1","%","493600","600","6.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","C,E: Energy & water","SIC 92","0.2","%","493600","1200","6.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","D: Manufacturing","SIC 92","7.8","%","493600","38700","5.7"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","F: Construction","SIC 92","3.8","%","493600","18700","6.5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","G-H: Distribution, hotels & restaurants","SIC 92","17.9","%","493600","88100","6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","I: Transport & communication","SIC 92","8.8","%","493600","43600","6.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","J-K: Banking, finance & insurance etc","SIC 92","17.2","%","493600","85000","5.9"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","L-N: Public admin, education & health","SIC 92","38.3","%","493600","189000","4.9"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","O-Q: Other services","SIC 92","5.7","%","493600","28000","6.7"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Black","Workplace outside UK","SIC 92","-","%","493600","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","A-B: Agriculture & fishing","SIC 92","-","%","534900","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","C,E: Energy & water","SIC 92","0.9","%","534900","4900","5.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","D: Manufacturing","SIC 92","13.5","%","534900","72300","5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","F: Construction","SIC 92","3.4","%","534900","18100","5.9"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","G-H: Distribution, hotels & restaurants","SIC 92","26.7","%","534900","142600","5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","I: Transport & communication","SIC 92","8.7","%","534900","46700","5.5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","J-K: Banking, finance & insurance etc","SIC 92","19","%","534900","101700","5.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","L-N: Public admin, education & health","SIC 92","24.8","%","534900","132700","4.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","O-Q: Other services","SIC 92","2.9","%","534900","15400","5.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Indian","Workplace outside UK","SIC 92","-","%","534900","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","A-B: Agriculture & fishing","SIC 92","-","%","167300","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","C,E: Energy & water","SIC 92","0.8","%","167300","1300","8.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","D: Manufacturing","SIC 92","9.7","%","167300","16200","7.5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","F: Construction","SIC 92","3.9","%","167300","6500","7.7"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","G-H: Distribution, hotels & restaurants","SIC 92","25.4","%","167300","42600","7.2"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","I: Transport & communication","SIC 92","5.2","%","167300","8700","7.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","J-K: Banking, finance & insurance etc","SIC 92","18.1","%","167300","30200","7.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","L-N: Public admin, education & health","SIC 92","29.2","%","167300","48800","6.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","O-Q: Other services","SIC 92","7.7","%","167300","12800","8.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Mixed","Workplace outside UK","SIC 92","-","%","167300","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","A-B: Agriculture & fishing","SIC 92","0.2","%","252100","500","6.7"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","C,E: Energy & water","SIC 92","0.7","%","252100","1800","7.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","D: Manufacturing","SIC 92","8.4","%","252100","21100","7.5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","F: Construction","SIC 92","1.7","%","252100","4300","8.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","G-H: Distribution, hotels & restaurants","SIC 92","35.6","%","252100","89800","6.5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","I: Transport & communication","SIC 92","5.7","%","252100","14400","8.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","J-K: Banking, finance & insurance etc","SIC 92","15.8","%","252100","39800","7.9"
