"","All","","Men","","Women",""
"Ethnicity","%","Number of people employed","%","Number of people employed","%","Number of people employed"
"All","75","30,116,600","80","15,895,800","71","14,220,800"
"Asian","66","2,084,600","77","1,212,000","54","872,600"
"Indian","76","856,200","83","476,300","69","379,900"
"Pakistani, Bangladeshi","57","715,600","75","480,800","39","234,800"
"Asian Other","64","512,900","71","254,900","58","258,000"
"Black","67","940,900","72","470,500","63","470,300"
"Mixed","67","365,800","71","186,300","63","179,500"
"White","77","26,212,300","81","13,733,200","73","12,479,000"
"White British","76","23,733,100","80","12,444,400","73","11,288,700"
"White Other","82","2,479,200","88","1,288,800","76","1,190,400"
"Other","61","488,300","70","280,200","51","208,100"
