"","All","","","Men","","","Women","",""
"Ethnicity","All (%)","Disabled (%)","Non-disabled (%)","All (%)","Disabled (%)","Non-disabled (%)","All (%)","Disabled (%)","Non-disabled (%)"
"All","75","51","81","80","52","85","71","51","76"
"Asian","66","48","69","77","59","80","54","39","58"
"Indian","76","58","79","83","62","86","69","55","71"
"Pakistani, Bangladeshi","57","42","61","75","60","78","39","26","42"
"Asian Other","64","48","66","71","53","74","58","44","60"
"Black","67","44","71","72","42","76","63","45","66"
"Mixed","67","44","72","71","48","76","63","41","69"
"White","77","52","83","81","52","87","73","52","79"
"White British","76","52","83","80","52","86","73","52","79"
"White Other","82","62","84","88","67","90","76","59","78"
"Other","61","40","65","70","41","76","51","40","54"
