"Sex","Ethnicity","All (%)","Disabled (%)","Non-disabled (%)"
"All","All","75","51","81"
"All","Asian","66","48","69"
"All","Indian","76","58","79"
"All","Pakistani, Bangladeshi","57","42","61"
"All","Asian Other","64","48","66"
"All","Black","67","44","71"
"All","Mixed","67","44","72"
"All","White","77","52","83"
"All","White British","76","52","83"
"All","White Other","82","62","84"
"All","Other","61","40","65"
"Men","All","80","52","85"
"Men","Asian","77","59","80"
"Men","Indian","83","62","86"
"Men","Pakistani, Bangladeshi","75","60","78"
"Men","Asian Other","71","53","74"
"Men","Black","72","42","76"
"Men","Mixed","71","48","76"
"Men","White","81","52","87"
"Men","White British","80","52","86"
"Men","White Other","88","67","90"
"Men","Other","70","41","76"
"Women","All","71","51","76"
"Women","Asian","54","39","58"
"Women","Indian","69","55","71"
"Women","Pakistani, Bangladeshi","39","26","42"
"Women","Asian Other","58","44","60"
"Women","Black","63","45","66"
"Women","Mixed","63","41","69"
"Women","White","73","52","79"
"Women","White British","73","52","79"
"Women","White Other","76","59","78"
"Women","Other","51","40","54"
