"","All","East Midlands","East of England","London","North East","North West","Scotland","South East","South West","Wales","West Midlands","Yorkshire and The Humber"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%"
"All","76","77","78","75","71","75","75","80","79","73","74","74"
"Asian","65","67","71","66","58","60","57","75","72","66","62","56"
"Indian","76","73","84","74","?","72","64","85","71","?","77","69"
"Pakistani, Bangladeshi","56","57","59","58","47","54","53","68","?","61","52","53"
"Asian Other","65","61","72","65","?","59","57","70","77","63","55","58"
"Black","69","72","73","69","60","67","63","76","77","63","62","74"
"Mixed","69","?","76","69","?","69","?","73","77","68","61","68"
"White","78","78","79","79","71","76","76","80","80","74","77","76"
"White British","77","78","78","78","71","76","75","80","79","74","77","76"
"White Other","83","83","86","83","77","82","80","85","85","81","84","80"
"Other","63","?","75","66","44","55","55","77","68","52","56","50"
