"","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","£","£","£","£","£","£","£","£","£"
"All","10.54","10.69","10.82","11.02","11.41","11.82","12.17","13.00","13.57"
"Asian","10.07","9.82","10.16","11.00","11.14","11.80","12.32","13.69","14.29"
"Black","10.27","10.00","9.91","10.27","10.78","10.80","11.54","12.16","12.55"
"Indian","11.55","12.03","11.75","12.50","12.76","13.46","14.43","15.59","16.11"
"Mixed","11.00","10.41","10.71","11.26","10.71","12.16","12.30","13.28","13.57"
"Other Asian","10.17","9.27","9.76","10.63","11.06","12.50","12.03","13.74","14.07"
"Other","9.69","9.80","10.02","10.17","10.58","10.95","11.39","13.85","15.04"
"Pakistani/ Bangladeshi","8.13","7.89","9.11","9.36","9.45","9.62","10.55","11.05","12.03"
"White","10.58","10.81","10.91","11.05","11.46","11.87","12.21","13.00","13.51"
"White British","10.60","10.83","10.95","11.13","11.53","11.90","12.25","12.92","13.46"
"White Irish","n/a","n/a","n/a","n/a","n/a","n/a","n/a","18.69","18.14"
"White Other","10.13","10.55","10.29","10.38","10.74","11.55","12.02","13.66","14.03"
