"Income Band","Ethnicity",""
"Up to £99","All","2"
"Up to £99","Bangladeshi","1"
"Up to £99","Chinese","5"
"Up to £99","Indian","2"
"Up to £99","Pakistani","2"
"Up to £99","Asian other","2"
"Up to £99","Black","4"
"Up to £99","Mixed","3"
"Up to £99","White British","2"
"Up to £99","White other","2"
"Up to £99","Other","3"
"£100 to £199","All","5"
"£100 to £199","Bangladeshi","2"
"£100 to £199","Chinese","5"
"£100 to £199","Indian","3"
"£100 to £199","Pakistani","7"
"£100 to £199","Asian other","5"
"£100 to £199","Black","6"
"£100 to £199","Mixed","5"
"£100 to £199","White British","5"
"£100 to £199","White other","3"
"£100 to £199","Other","4"
"£200 to £299","All","11"
"£200 to £299","Bangladeshi","6"
"£200 to £299","Chinese","9"
"£200 to £299","Indian","7"
"£200 to £299","Pakistani","7"
"£200 to £299","Asian other","8"
"£200 to £299","Black","10"
"£200 to £299","Mixed","11"
"£200 to £299","White British","11"
"£200 to £299","White other","7"
"£200 to £299","Other","8"
"£300 to £399","All","12"
"£300 to £399","Bangladeshi","11"
"£300 to £399","Chinese","10"
"£300 to £399","Indian","6"
"£300 to £399","Pakistani","8"
"£300 to £399","Asian other","8"
"£300 to £399","Black","15"
"£300 to £399","Mixed","13"
"£300 to £399","White British","12"
"£300 to £399","White other","9"
"£300 to £399","Other","13"
"£400 to £499","All","11"
"£400 to £499","Bangladeshi","13"
"£400 to £499","Chinese","8"
"£400 to £499","Indian","7"
"£400 to £499","Pakistani","13"
"£400 to £499","Asian other","11"
"£400 to £499","Black","11"
"£400 to £499","Mixed","11"
"£400 to £499","White British","11"
"£400 to £499","White other","10"
"£400 to £499","Other","10"
"£500 to £599","All","9"
"£500 to £599","Bangladeshi","13"
"£500 to £599","Chinese","10"
"£500 to £599","Indian","6"
"£500 to £599","Pakistani","12"
"£500 to £599","Asian other","11"
"£500 to £599","Black","11"
"£500 to £599","Mixed","9"
"£500 to £599","White British","9"
"£500 to £599","White other","10"
"£500 to £599","Other","12"
"£600 to £699","All","8"
"£600 to £699","Bangladeshi","15"
"£600 to £699","Chinese","8"
"£600 to £699","Indian","7"
"£600 to £699","Pakistani","10"
"£600 to £699","Asian other","7"
"£600 to £699","Black","9"
"£600 to £699","Mixed","7"
"£600 to £699","White British","7"
"£600 to £699","White other","9"
"£600 to £699","Other","7"
"£700 to £799","All","7"
"£700 to £799","Bangladeshi","12"
"£700 to £799","Chinese","6"
"£700 to £799","Indian","7"
"£700 to £799","Pakistani","8"
"£700 to £799","Asian other","11"
"£700 to £799","Black","7"
"£700 to £799","Mixed","9"
"£700 to £799","White British","7"
"£700 to £799","White other","7"
"£700 to £799","Other","7"
"£800 to £899","All","6"
"£800 to £899","Bangladeshi","5"
"£800 to £899","Chinese","4"
"£800 to £899","Indian","6"
"£800 to £899","Pakistani","6"
"£800 to £899","Asian other","4"
"£800 to £899","Black","5"
"£800 to £899","Mixed","6"
"£800 to £899","White British","6"
"£800 to £899","White other","6"
"£800 to £899","Other","5"
"£900 to £999","All","5"
"£900 to £999","Bangladeshi","2"
"£900 to £999","Chinese","7"
"£900 to £999","Indian","7"
"£900 to £999","Pakistani","5"
"£900 to £999","Asian other","6"
"£900 to £999","Black","4"
"£900 to £999","Mixed","4"
"£900 to £999","White British","5"
"£900 to £999","White other","5"
"£900 to £999","Other","4"
"£1000 or above","All","27"
"£1000 or above","Bangladeshi","20"
"£1000 or above","Chinese","29"
"£1000 or above","Indian","42"
"£1000 or above","Pakistani","20"
"£1000 or above","Asian other","28"
"£1000 or above","Black","19"
"£1000 or above","Mixed","24"
"£1000 or above","White British","26"
"£1000 or above","White other","31"
"£1000 or above","Other","27"
