"","Up to £99","£100 to £199","£200 to £299","£300 to £399","£400 to £499","£500 to £599","£600 to £699","£700 to £799","£800 to £899","£900 to £999","£1000 or above"
"Ethnicity","","","","","","","","","","",""
"All","2","5","10","11","10","9","8","7","6","5","28"
"Bangladeshi","1","2","7","12","10","12","17","10","4","4","21"
"Chinese","5","3","14","9","10","5","9","5","4","5","31"
"Indian","2","3","7","6","6","6","6","6","5","6","46"
"Pakistani","2","6","8","7","12","14","11","8","6","4","22"
"Asian other","3","4","6","7","11","10","8","10","5","5","32"
"Black","3","6","10","15","12","10","8","7","5","4","20"
"Mixed","2","4","9","12","12","8","7","7","4","5","30"
"White British","2","5","11","11","10","9","7","7","6","5","28"
"White other","3","3","7","7","10","8","10","7","6","6","34"
"Other","2","4","12","10","9","11","6","8","5","5","27"
