"","Up to £200","£200-£399","£400-£599","£600-£799","£800-£999","£1,000-£1,199","£1,200-£1,399","£1,400-£1,599","£1,600-£1,799","£1,800-£1,999","£2,000 or above"
"Ethnicity","","","","","","","","","","",""
"All","6","20","19","14","11","8","6","4","3","2","6"
"Bangladeshi","4","20","20","23","11","8","5","5","2","1","2"
"Chinese","9","19","19","14","5","9","5","5","4","2","9"
"Indian","5","12","13","11","12","10","7","5","6","4","14"
"Pakistani","7","16","24","19","11","6","6","4","1","1","4"
"Asian other","7","10","18","19","11","8","7","7","4","3","5"
"Black","8","22","25","14","9","7","4","4","3","1","3"
"Mixed","9","18","16","14","10","12","4","4","2","2","8"
"White British","7","21","19","14","11","8","6","4","3","2","6"
"White other","5","14","17","17","13","9","6","4","3","3","8"
"Other","8","21","18","14","8","7","5","4","3","2","10"
