"","Up to £200","£200-£399","£400-£599","£600-£799","£800-£999","£1000-£1199","£1200-£1399","£1400-£1599","£1600-£1799","£1800-£1999","£2000 or above"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%"
"All","6","20","19","14","11","8","6","4","3","2","7"
"Bangladeshi","5","21","20","16","17","9","1","3","1","1","3"
"Chinese","7","21","17","11","7","11","6","5","3","3","11"
"Indian","7","12","13","13","13","9","6","5","4","3","14"
"Pakistani","6","19","24","16","10","8","7","5","1","1","3"
"Asian other","9","12","16","17","10","9","9","7","4","2","5"
"Black","8","20","26","15","10","7","5","3","2","1","4"
"Mixed","8","17","17","17","8","10","7","6","1","2","7"
"White British","6","21","19","14","11","8","6","4","3","2","6"
"White other","5","13","16","19","13","9","6","6","3","3","8"
"Other","7","20","17","13","7","6","5","5","5","3","11"
