"Income bracket","Ethnicity","%"
"Up to £200","All","6"
"Up to £200","Bangladeshi","5"
"Up to £200","Chinese","7"
"Up to £200","Indian","7"
"Up to £200","Pakistani","6"
"Up to £200","Asian other","9"
"Up to £200","Black","8"
"Up to £200","Mixed","8"
"Up to £200","White British","6"
"Up to £200","White other","5"
"Up to £200","Other","7"
"£200-£399","All","20"
"£200-£399","Bangladeshi","21"
"£200-£399","Chinese","21"
"£200-£399","Indian","12"
"£200-£399","Pakistani","19"
"£200-£399","Asian other","12"
"£200-£399","Black","20"
"£200-£399","Mixed","17"
"£200-£399","White British","21"
"£200-£399","White other","13"
"£200-£399","Other","20"
"£400-£599","All","19"
"£400-£599","Bangladeshi","20"
"£400-£599","Chinese","17"
"£400-£599","Indian","13"
"£400-£599","Pakistani","24"
"£400-£599","Asian other","16"
"£400-£599","Black","26"
"£400-£599","Mixed","17"
"£400-£599","White British","19"
"£400-£599","White other","16"
"£400-£599","Other","17"
"£600-£799","All","14"
"£600-£799","Bangladeshi","16"
"£600-£799","Chinese","11"
"£600-£799","Indian","13"
"£600-£799","Pakistani","16"
"£600-£799","Asian other","17"
"£600-£799","Black","15"
"£600-£799","Mixed","17"
"£600-£799","White British","14"
"£600-£799","White other","19"
"£600-£799","Other","13"
"£800-£999","All","11"
"£800-£999","Bangladeshi","17"
"£800-£999","Chinese","7"
"£800-£999","Indian","13"
"£800-£999","Pakistani","10"
"£800-£999","Asian other","10"
"£800-£999","Black","10"
"£800-£999","Mixed","8"
"£800-£999","White British","11"
"£800-£999","White other","13"
"£800-£999","Other","7"
"£1000-£1199","All","8"
"£1000-£1199","Bangladeshi","9"
"£1000-£1199","Chinese","11"
"£1000-£1199","Indian","9"
"£1000-£1199","Pakistani","8"
"£1000-£1199","Asian other","9"
"£1000-£1199","Black","7"
"£1000-£1199","Mixed","10"
"£1000-£1199","White British","8"
"£1000-£1199","White other","9"
"£1000-£1199","Other","6"
"£1200-£1399","All","6"
"£1200-£1399","Bangladeshi","1"
"£1200-£1399","Chinese","6"
"£1200-£1399","Indian","6"
"£1200-£1399","Pakistani","7"
"£1200-£1399","Asian other","9"
"£1200-£1399","Black","5"
"£1200-£1399","Mixed","7"
"£1200-£1399","White British","6"
"£1200-£1399","White other","6"
"£1200-£1399","Other","5"
"£1400-£1599","All","4"
"£1400-£1599","Bangladeshi","3"
"£1400-£1599","Chinese","5"
"£1400-£1599","Indian","5"
"£1400-£1599","Pakistani","5"
"£1400-£1599","Asian other","7"
"£1400-£1599","Black","3"
"£1400-£1599","Mixed","6"
"£1400-£1599","White British","4"
"£1400-£1599","White other","6"
"£1400-£1599","Other","5"
"£1600-£1799","All","3"
"£1600-£1799","Bangladeshi","1"
"£1600-£1799","Chinese","3"
"£1600-£1799","Indian","4"
"£1600-£1799","Pakistani","1"
"£1600-£1799","Asian other","4"
"£1600-£1799","Black","2"
"£1600-£1799","Mixed","1"
"£1600-£1799","White British","3"
"£1600-£1799","White other","3"
"£1600-£1799","Other","5"
"£1800-£1999","All","2"
"£1800-£1999","Bangladeshi","1"
"£1800-£1999","Chinese","3"
"£1800-£1999","Indian","3"
"£1800-£1999","Pakistani","1"
"£1800-£1999","Asian other","2"
"£1800-£1999","Black","1"
"£1800-£1999","Mixed","2"
"£1800-£1999","White British","2"
"£1800-£1999","White other","3"
"£1800-£1999","Other","3"
"£2000 or above","All","7"
"£2000 or above","Bangladeshi","3"
"£2000 or above","Chinese","11"
"£2000 or above","Indian","14"
"£2000 or above","Pakistani","3"
"£2000 or above","Asian other","5"
"£2000 or above","Black","4"
"£2000 or above","Mixed","7"
"£2000 or above","White British","6"
"£2000 or above","White other","8"
"£2000 or above","Other","11"
