"Income band","Ethnicity",""
"up to £99","All","2"
"up to £99","Bangladeshi","1"
"up to £99","Chinese","5"
"up to £99","Indian","2"
"up to £99","Pakistani","2"
"up to £99","Asian other","2"
"up to £99","Black","3"
"up to £99","Mixed","3"
"up to £99","White British","2"
"up to £99","White other","2"
"up to £99","Other","3"
"£100 to £199","All","6"
"£100 to £199","Bangladeshi","3"
"£100 to £199","Chinese","5"
"£100 to £199","Indian","4"
"£100 to £199","Pakistani","7"
"£100 to £199","Asian other","4"
"£100 to £199","Black","7"
"£100 to £199","Mixed","5"
"£100 to £199","White British","6"
"£100 to £199","White other","4"
"£100 to £199","Other","5"
"£200 to £299","All","11"
"£200 to £299","Bangladeshi","8"
"£200 to £299","Chinese","10"
"£200 to £299","Indian","7"
"£200 to £299","Pakistani","7"
"£200 to £299","Asian other","8"
"£200 to £299","Black","11"
"£200 to £299","Mixed","15"
"£200 to £299","White British","12"
"£200 to £299","White other","9"
"£200 to £299","Other","9"
"£300 to £399","All","12"
"£300 to £399","Bangladeshi","12"
"£300 to £399","Chinese","8"
"£300 to £399","Indian","7"
"£300 to £399","Pakistani","11"
"£300 to £399","Asian other","9"
"£300 to £399","Black","14"
"£300 to £399","Mixed","10"
"£300 to £399","White British","12"
"£300 to £399","White other","9"
"£300 to £399","Other","14"
"£400 to £499","All","11"
"£400 to £499","Bangladeshi","16"
"£400 to £499","Chinese","8"
"£400 to £499","Indian","9"
"£400 to £499","Pakistani","12"
"£400 to £499","Asian other","11"
"£400 to £499","Black","11"
"£400 to £499","Mixed","10"
"£400 to £499","White British","11"
"£400 to £499","White other","10"
"£400 to £499","Other","11"
"£500 to £599","All","9"
"£500 to £599","Bangladeshi","12"
"£500 to £599","Chinese","6"
"£500 to £599","Indian","8"
"£500 to £599","Pakistani","12"
"£500 to £599","Asian other","9"
"£500 to £599","Black","10"
"£500 to £599","Mixed","9"
"£500 to £599","White British","9"
"£500 to £599","White other","9"
"£500 to £599","Other","10"
"£600 to £699","All","8"
"£600 to £699","Bangladeshi","11"
"£600 to £699","Chinese","5"
"£600 to £699","Indian","8"
"£600 to £699","Pakistani","9"
"£600 to £699","Asian other","9"
"£600 to £699","Black","10"
"£600 to £699","Mixed","7"
"£600 to £699","White British","8"
"£600 to £699","White other","9"
"£600 to £699","Other","9"
"£700 to £799","All","7"
"£700 to £799","Bangladeshi","9"
"£700 to £799","Chinese","8"
"£700 to £799","Indian","7"
"£700 to £799","Pakistani","10"
"£700 to £799","Asian other","8"
"£700 to £799","Black","6"
"£700 to £799","Mixed","9"
"£700 to £799","White British","7"
"£700 to £799","White other","7"
"£700 to £799","Other","6"
"£800 to £899","All","6"
"£800 to £899","Bangladeshi","3"
"£800 to £899","Chinese","6"
"£800 to £899","Indian","6"
"£800 to £899","Pakistani","6"
"£800 to £899","Asian other","5"
"£800 to £899","Black","5"
"£800 to £899","Mixed","6"
"£800 to £899","White British","6"
"£800 to £899","White other","5"
"£800 to £899","Other","6"
"£900 to £999","All","5"
"£900 to £999","Bangladeshi","3"
"£900 to £999","Chinese","8"
"£900 to £999","Indian","6"
"£900 to £999","Pakistani","4"
"£900 to £999","Asian other","6"
"£900 to £999","Black","5"
"£900 to £999","Mixed","4"
"£900 to £999","White British","5"
"£900 to £999","White other","5"
"£900 to £999","Other","4"
"£1,000 or above ","All","25"
"£1,000 or above ","Bangladeshi","20"
"£1,000 or above ","Chinese","32"
"£1,000 or above ","Indian","38"
"£1,000 or above ","Pakistani","18"
"£1,000 or above ","Asian other","30"
"£1,000 or above ","Black","17"
"£1,000 or above ","Mixed","22"
"£1,000 or above ","White British","25"
"£1,000 or above ","White other","30"
"£1,000 or above ","Other","24"
