"Income Quintile Disitribution","Ethnicity","%"
"Bottom quintile (lowest income)","Asian","31"
"Bottom quintile (lowest income)","Bangladeshi","39"
"Bottom quintile (lowest income)","Chinese","28"
"Bottom quintile (lowest income)","Indian","21"
"Bottom quintile (lowest income)","Pakistani","46"
"Bottom quintile (lowest income)","Asian other","24"
"Bottom quintile (lowest income)","Black","30"
"Bottom quintile (lowest income)","Mixed","27"
"Bottom quintile (lowest income)","White","18"
"Bottom quintile (lowest income)","White British","18"
"Bottom quintile (lowest income)","White other","20"
"Bottom quintile (lowest income)","Other","30"
"Second lowest quintile","Asian","22"
"Second lowest quintile","Bangladeshi","28"
"Second lowest quintile","Chinese","14"
"Second lowest quintile","Indian","17"
"Second lowest quintile","Pakistani","26"
"Second lowest quintile","Asian other","28"
"Second lowest quintile","Black","25"
"Second lowest quintile","Mixed","17"
"Second lowest quintile","White","20"
"Second lowest quintile","White British","20"
"Second lowest quintile","White other","18"
"Second lowest quintile","Other","21"
"Middle quintile","Asian","17"
"Middle quintile","Bangladeshi","19"
"Middle quintile","Chinese","20"
"Middle quintile","Indian","19"
"Middle quintile","Pakistani","16"
"Middle quintile","Asian other","15"
"Middle quintile","Black","20"
"Middle quintile","Mixed","17"
"Middle quintile","White","20"
"Middle quintile","White British","21"
"Middle quintile","White other","17"
"Middle quintile","Other","15"
"Second highest quintile","Asian","15"
"Second highest quintile","Bangladeshi","11"
"Second highest quintile","Chinese","16"
"Second highest quintile","Indian","21"
"Second highest quintile","Pakistani","7"
"Second highest quintile","Asian other","18"
"Second highest quintile","Black","15"
"Second highest quintile","Mixed","23"
"Second highest quintile","White","21"
"Second highest quintile","White British","21"
"Second highest quintile","White other","20"
"Second highest quintile","Other","18"
"Top quintile (highest income)","Asian","14"
"Top quintile (highest income)","Bangladeshi","4"
"Top quintile (highest income)","Chinese","22"
"Top quintile (highest income)","Indian","22"
"Top quintile (highest income)","Pakistani","5"
"Top quintile (highest income)","Asian other","15"
"Top quintile (highest income)","Black","10"
"Top quintile (highest income)","Mixed","16"
"Top quintile (highest income)","White","21"
"Top quintile (highest income)","White British","21"
"Top quintile (highest income)","White other","25"
"Top quintile (highest income)","Other","16"
