"Age Bracket","Ethnicity","%","Number of respondents"
"All","All","13","32,976"
"All","Asian","26","2,755"
"All","Black","29","1,075"
"All","Mixed","26","366"
"All","White","12","27,289"
"All","White British","12","25,797"
"All","White other","14","1,492"
"All","Other","28","190"
"Children","All","20","7,848"
"Children","Asian","35","1,012"
"Children","Black","36","370"
"Children","Mixed","34","119"
"Children","White","18","5,966"
"Children","White British","18","5,579"
"Children","White other","16","387"
"Children","Other","?","66"
"Working age adults","All","12","18,016"
"Working age adults","Asian","21","1,569"
"Working age adults","Black","25","599"
"Working age adults","Mixed","24","219"
"Working age adults","White","11","14,734"
"Working age adults","White British","11","13,905"
"Working age adults","White other","14","829"
"Working age adults","Other","25","105"
"Pensioners","All","11","7,112"
"Pensioners","Asian","17","174"
"Pensioners","Black","31","106"
"Pensioners","Mixed","?","28"
"Pensioners","White","11","6,589"
"Pensioners","White British","11","6,313"
"Pensioners","White other","13","276"
"Pensioners","Other","?","19"
