"Age Bracket","Ethnicity","%","Number of respondents"
"All","All","9","29,344"
"All","Asian","17","2,356"
"All","Black","15","897"
"All","Mixed","9","316"
"All","White","9","24,681"
"All","White British","9","23,364"
"All","White other","8","1,317"
"All","Other","11","157"
"Children","All","12","6,840"
"Children","Asian","26","866"
"Children","Black","21","292"
"Children","Mixed","?","99"
"Children","White","10","5,319"
"Children","White British","10","4,984"
"Children","White other","12","335"
"Children","Other","?","52"
"Working-age adults","All","7","15,896"
"Working-age adults","Asian","12","1,343"
"Working-age adults","Black","12","504"
"Working-age adults","Mixed","8","185"
"Working-age adults","White","7","13,209"
"Working-age adults","White British","7","12,496"
"Working-age adults","White other","6","713"
"Working-age adults","Other","?","86"
"Pensioners","All","11","6,608"
"Pensioners","Asian","12","147"
"Pensioners","Black","14","101"
"Pensioners","Mixed","?","32"
"Pensioners","White","12","6,153"
"Pensioners","White British","12","5,884"
"Pensioners","White other","8","269"
"Pensioners","Other","?","19"
